# t_sec x y yaw_rad cum_dist_m
0.102 0.001593 -0.000326 0.003102 0.000000
0.201 0.001593 -0.000326 0.003102 0.000000
0.301 0.001594 -0.000327 0.010083 0.000001
0.401 0.001574 -0.000328 0.025791 0.000020
0.502 0.001434 -0.000332 0.048480 0.000161
0.602 0.001733 -0.000310 0.095604 0.000461
0.702 0.001374 -0.000352 0.120039 0.000823
0.801 0.001276 -0.000364 0.149535 0.000921
0.902 0.001687 -0.000293 0.198579 0.001337
1.001 0.001121 -0.000418 0.228249 0.001917
1.101 0.001273 -0.000378 0.256175 0.002073
1.201 0.001391 -0.000345 0.303298 0.002196
1.302 0.001409 -0.000337 0.332969 0.002215
1.402 0.001559 -0.000283 0.362640 0.002376
1.501 0.001403 -0.000353 0.406273 0.002547
1.609 0.001647 -0.000240 0.435943 0.002816
1.701 0.001494 -0.000322 0.472595 0.002989
1.801 0.001504 -0.000304 0.505757 0.003009
1.902 0.001679 -0.000207 0.531937 0.003210
2.005 0.001459 -0.000345 0.568589 0.003470
2.102 0.001308 -0.000445 0.610651 0.003651
2.203 0.001586 -0.000245 0.638576 0.003993
2.302 0.001294 -0.000465 0.675228 0.004359
2.402 0.001509 -0.000287 0.699837 0.004638
2.504 0.031054 0.026487 0.735871 0.044510
2.602 0.031073 0.026512 0.774268 0.044541
2.701 0.031308 0.026739 0.816156 0.044868
2.802 0.031200 0.026621 0.844081 0.045028
2.901 0.031148 0.026560 0.878988 0.045108
3.001 0.030972 0.026342 0.901677 0.045388
3.102 0.031080 0.026485 0.945310 0.045568
3.202 0.031242 0.026714 0.980217 0.045848
3.302 0.031012 0.026361 1.022105 0.046269
3.401 0.031346 0.026932 1.051775 0.046931
3.502 0.031051 0.026386 1.086682 0.047552
3.601 0.031052 0.026406 1.125079 0.047573
3.701 0.031153 0.026626 1.154575 0.047814
3.802 0.030998 0.026257 1.187911 0.048214
3.902 0.075632 0.026098 1.203041 0.092849
4.001 0.075487 0.025681 1.238297 0.093291
4.102 0.075529 0.025835 1.278265 0.093451
4.202 0.075605 0.026088 1.321898 0.093715
4.302 0.075468 0.025523 1.344588 0.094297
4.402 0.075559 0.025955 1.370942 0.094739
4.502 0.075533 0.025776 1.416321 0.094919
4.601 0.075544 0.025856 1.449482 0.095000
4.702 0.075547 0.025898 1.470426 0.095042
4.802 0.075542 0.025876 1.517550 0.095065
4.902 0.075549 0.026036 1.541984 0.095226
5.002 0.075546 0.025584 1.571655 0.095679
5.102 0.075533 0.026027 1.620524 0.096122
5.201 0.075533 0.026027 1.634487 0.096122
5.306 0.075559 0.025731 1.676375 0.096420
5.402 0.075514 0.026048 1.723499 0.096739
5.502 0.075582 0.025657 1.751424 0.097136
5.602 0.107272 0.039138 1.808338 0.131574
5.702 0.107302 0.039031 1.836264 0.131686
5.801 0.107357 0.038838 1.860698 0.131886
5.902 0.107306 0.038971 1.913058 0.132029
6.002 0.107306 0.038973 1.935747 0.132030
6.101 0.107309 0.038947 1.977635 0.132056
6.202 0.107268 0.039038 2.007306 0.132155
6.302 0.107474 0.038626 2.042212 0.132616
6.402 0.107480 0.038606 2.080610 0.132636
6.502 0.107430 0.038695 2.108535 0.132738
6.601 0.107308 0.038879 2.141696 0.132959
6.702 0.107312 0.038885 2.179919 0.132965
6.801 0.107462 0.038674 2.190740 0.133225
6.902 0.081523 0.046109 2.209072 0.160208
7.002 0.045283 0.056406 2.190497 0.197882
7.102 0.045433 0.056201 2.221738 0.198135
7.202 0.045154 0.056542 2.267291 0.198576
7.305 0.045272 0.056405 2.281254 0.198757
7.401 0.045373 0.056283 2.326633 0.198915
7.501 0.045150 0.056515 2.368346 0.199237
7.602 0.045553 0.056132 2.392781 0.199793
7.702 0.045273 0.056374 2.429607 0.200162
7.802 0.045294 0.056360 2.459278 0.200188
7.901 0.045247 0.056396 2.497675 0.200247
8.001 0.045152 0.056466 2.532581 0.200365
8.102 0.045517 0.056221 2.576215 0.200805
8.201 0.045066 0.056494 2.604140 0.201333
8.301 0.045629 0.056185 2.654755 0.201975
8.404 0.045360 0.056319 2.680934 0.202276
8.502 0.044927 0.056526 2.710605 0.202756
8.602 0.041813 0.012350 2.675534 0.247041
8.701 0.041270 0.012616 2.692988 0.247646
8.801 0.041623 0.012462 2.741857 0.248032
8.902 0.041386 0.012555 2.771528 0.248286
9.002 0.041355 0.012567 2.797708 0.248320
9.101 0.041622 0.012477 2.843086 0.248602
9.201 0.041276 0.012576 2.869266 0.248961
9.302 0.041530 0.012517 2.912899 0.249222
9.401 0.041452 0.012533 2.947806 0.249302
9.501 0.041326 0.012556 2.977476 0.249430
9.601 0.041363 0.012550 3.010638 0.249467
