# t_sec x y yaw_rad cum_dist_m
0.102 -0.001563 0.001563 -0.000000 0.000000
0.202 -0.001563 0.001563 -0.000000 0.000000
0.302 -0.001427 0.001548 0.000136 0.000137
0.402 0.000000 0.001398 0.001562 0.001571
0.502 0.000000 0.001398 0.001562 0.001571
0.602 0.000000 0.001398 0.001562 0.001571
0.702 0.000000 0.001398 0.001562 0.001571
0.802 0.000000 0.001398 0.001562 0.001571
0.902 -0.000081 0.001398 0.022681 0.001653
1.002 -0.000041 0.001400 0.047116 0.001693
1.102 -0.000319 0.001380 0.073296 0.001971
1.202 -0.000281 0.001387 0.106457 0.002010
1.302 -0.000419 0.001366 0.148345 0.002149
1.402 -0.000644 0.001330 0.172779 0.002377
1.502 -0.000257 0.001404 0.218332 0.002771
1.602 -0.000606 0.001319 0.249574 0.003131
1.702 -0.000286 0.001409 0.279419 0.003464
1.802 -0.000855 0.001222 0.321307 0.004064
1.902 -0.001083 0.001145 0.347487 0.004304
2.002 -0.000663 0.001305 0.377157 0.004755
2.105 -0.000957 0.001177 0.424281 0.005075
2.202 -0.000900 0.001203 0.453952 0.005138
2.302 -0.000720 0.001293 0.480132 0.005339
2.402 -0.001170 0.001040 0.525510 0.005854
2.502 -0.000944 0.001178 0.551865 0.006118
2.607 -0.001148 0.001044 0.597069 0.006362
2.703 -0.000637 0.001410 0.635641 0.006990
2.810 0.028708 0.039490 0.640088 0.055065
2.902 0.028355 0.039222 0.666268 0.055508
3.002 0.028570 0.039399 0.718628 0.055787
3.106 0.028333 0.039184 0.748298 0.056108
3.202 0.027957 0.038827 0.781460 0.056626
3.302 0.028097 0.038971 0.823348 0.056828
3.402 0.028004 0.038864 0.854763 0.056969
3.502 0.027854 0.038683 0.894906 0.057205
3.602 0.027854 0.038672 0.929813 0.057215
3.714 0.027662 0.038411 0.975191 0.057539
3.803 0.027782 0.038593 0.994390 0.057757
3.903 0.027657 0.038388 1.032962 0.057996
4.002 0.027674 0.038423 1.076595 0.058035
4.102 0.027758 0.038584 1.099110 0.058217
4.202 0.027713 0.038492 1.136111 0.058319
4.302 0.058897 0.037174 1.164623 0.089531
4.402 0.058873 0.037117 1.188883 0.089592
4.502 0.058951 0.037324 1.230771 0.089813
4.602 0.058920 0.037229 1.265678 0.089913
4.702 0.058816 0.036875 1.295523 0.090282
4.802 0.058871 0.037089 1.332175 0.090504
