# t_sec x y yaw_rad cum_dist_m
0.104 0.009375 0.002961 0.001562 0.000000
0.202 0.009375 0.002961 0.001562 0.000000
0.304 0.009375 0.002961 0.001562 0.000000
0.402 0.009375 0.002961 0.001562 0.000000
0.502 0.009375 0.002961 0.001562 0.000000
0.602 0.009375 0.002961 0.001562 0.000000
0.703 0.009375 0.002961 0.001562 0.000000
0.802 0.009375 0.002961 0.001562 0.000000
0.903 0.009375 0.002961 0.001562 0.000000
1.002 0.009375 0.002961 0.001562 0.000000
1.102 0.009375 0.002961 0.001562 0.000000
1.204 0.009375 0.002961 0.001562 0.000000
1.302 0.009375 0.002961 0.001562 0.000000
1.402 0.009375 0.002961 0.001562 0.000000
1.502 0.009375 0.002961 0.001562 0.000000
1.602 0.009375 0.002961 0.001562 0.000000
1.702 0.009375 0.002961 0.001562 0.000000
1.802 0.009375 0.002961 0.001562 0.000000
1.903 0.001563 0.001398 0.001563 0.007967
2.004 0.001563 0.001398 0.001563 0.007967
2.102 0.001563 0.001398 0.001563 0.007967
2.202 0.001563 0.001398 0.001563 0.007967
2.302 0.001563 0.001398 0.001563 0.007967
2.403 0.001473 0.001398 0.008544 0.008057
2.502 0.001378 0.001394 0.034724 0.008152
2.602 0.001099 0.001381 0.055668 0.008431
2.702 0.001557 0.001419 0.085338 0.008890
2.802 0.001537 0.001415 0.123736 0.008911
2.911 0.001378 0.001405 0.170859 0.009070
3.002 0.001928 0.001506 0.198785 0.009629
3.102 0.001381 0.001386 0.224965 0.010189
3.202 0.001549 0.001435 0.266853 0.010364
3.303 0.001646 0.001462 0.300014 0.010464
3.402 0.001361 0.001369 0.324448 0.010764
3.502 0.001472 0.001411 0.366336 0.010882
3.602 0.001249 0.001318 0.401243 0.011124
3.702 0.001397 0.001386 0.429168 0.011286
3.802 0.001884 0.001618 0.465995 0.011825
3.902 0.001394 0.001353 0.507708 0.012383
4.002 0.001406 0.001363 0.537379 0.012399
4.102 0.001675 0.001527 0.560242 0.012714
4.202 0.001440 0.001374 0.610682 0.012995
4.302 0.001553 0.001456 0.638782 0.013135
4.402 0.001601 0.001494 0.664962 0.013197
4.502 0.020164 0.014163 0.720385 0.035671
4.602 0.051189 0.035315 0.752000 0.073220
4.702 0.051432 0.035552 0.774863 0.073560
4.802 0.051091 0.035185 0.820242 0.074060
4.906 0.050909 0.034984 0.853403 0.074331
5.002 0.051420 0.035591 0.881329 0.075124
5.105 0.051345 0.035489 0.926882 0.075251
5.202 0.051405 0.035576 0.956378 0.075357
5.302 0.051231 0.035316 0.982558 0.075670
5.406 0.051197 0.035277 1.027936 0.075722
5.502 0.051351 0.035540 1.057607 0.076028
5.603 0.051166 0.035189 1.099495 0.076425
5.702 0.051237 0.035348 1.137892 0.076599
5.802 0.051249 0.035370 1.157091 0.076623
5.917 0.051022 0.034817 1.195488 0.077221
6.002 0.051084 0.034983 1.221668 0.077398
6.103 0.060224 0.031260 1.274162 0.087267
6.202 0.073971 0.025514 1.307617 0.102167
6.302 0.073962 0.025442 1.351250 0.102239
6.403 0.073925 0.025268 1.379175 0.102418
6.502 0.073926 0.025285 1.407101 0.102435
6.602 0.073865 0.024768 1.461206 0.102957
6.702 0.073877 0.024908 1.485640 0.103098
6.802 0.073901 0.025263 1.511820 0.103453
6.912 0.073902 0.025235 1.553708 0.103481
7.003 0.073905 0.024854 1.597341 0.103862
7.103 0.073906 0.024815 1.618285 0.103902
7.203 0.073881 0.025156 1.668900 0.104243
7.303 0.073905 0.024961 1.693335 0.104440
7.402 0.073944 0.024682 1.724750 0.104721
7.505 0.071773 0.016136 1.783456 0.113538
7.603 0.071827 0.015904 1.807890 0.113777
7.702 0.071949 0.015420 1.832325 0.114275
7.802 0.071647 0.016456 1.874213 0.115354
7.902 0.071960 0.015571 1.917846 0.116293
8.002 0.071772 0.016049 1.945946 0.116806
8.102 0.071725 0.016166 1.975617 0.116933
8.207 0.071836 0.015911 2.017679 0.117212
8.307 0.071758 0.016071 2.036703 0.117390
8.403 0.071884 0.015844 2.085572 0.117649
8.502 0.071740 0.016084 2.115243 0.117929
8.602 0.071526 0.016426 2.143168 0.118333
8.702 0.071975 0.015766 2.188547 0.119131
8.803 0.071738 0.016089 2.216472 0.119532
8.914 0.071746 0.016082 2.260105 0.119542
9.008 0.071795 0.016023 2.291521 0.119620
9.102 0.075297 0.024096 2.328254 0.128420
9.202 0.075397 0.023993 2.357925 0.128563
9.302 0.075423 0.023969 2.408540 0.128599
9.402 0.075409 0.023979 2.434720 0.128617
9.502 0.075378 0.024005 2.457409 0.128657
9.611 0.075520 0.023908 2.504533 0.128828
9.704 0.075750 0.023742 2.532458 0.129112
9.802 0.075187 0.024121 2.560383 0.129791
9.902 0.075121 0.024167 2.588309 0.129871
10.002 0.075655 0.023853 2.621470 0.130490
10.102 0.075139 0.024124 2.663532 0.131073
10.202 0.075088 0.024151 2.684651 0.131131
10.302 0.075831 0.023803 2.715892 0.131952
10.402 0.074875 0.024210 2.752544 0.132991
10.502 0.075192 0.024086 2.780469 0.133331
10.602 0.077007 0.023899 2.817497 0.135156
10.703 0.109129 0.022708 2.827303 0.167300
10.807 0.109281 0.022660 2.843011 0.167459
10.902 0.108655 0.022827 2.886644 0.168107
11.003 0.109051 0.022736 2.916315 0.168513
11.117 0.109047 0.022719 2.966929 0.168530
11.202 0.108733 0.022771 2.996600 0.168848
11.302 0.109070 0.022726 3.019289 0.169188
11.402 0.109011 0.022730 3.062922 0.169248
11.502 0.108839 0.022740 3.103065 0.169420
11.602 0.108879 0.022739 3.124009 0.169461
11.702 0.109094 0.022739 -3.119034 0.169676
11.802 0.109074 0.022732 -3.077146 0.169698
11.902 0.108954 0.022723 -3.052711 0.169818
12.002 0.109321 0.022764 -3.014314 0.170187
12.102 0.109221 0.022751 -2.974346 0.170287
12.202 0.109300 0.022766 -2.951482 0.170367
12.302 0.130026 0.012685 -2.895936 0.193415
12.402 0.130199 0.012734 -2.864346 0.193594
12.505 0.130525 0.012831 -2.834675 0.193934
12.602 0.129655 0.012534 -2.794533 0.194853
12.702 0.130342 0.012807 -2.756135 0.195593
12.802 0.130298 0.012786 -2.728210 0.195642
12.902 0.129945 0.012620 -2.686322 0.196032
13.002 0.130435 0.012871 -2.653161 0.196582
13.102 0.130104 0.012688 -2.611273 0.196960
13.202 0.130513 0.012936 -2.585093 0.197439
13.302 0.130191 0.012722 -2.553677 0.197826
13.402 0.130025 0.012613 -2.515280 0.198024
13.502 0.130470 0.012947 -2.478628 0.198581
13.604 0.130141 0.012678 -2.450703 0.199007
13.702 0.121172 0.016908 -2.399319 0.208924
13.802 0.113839 0.020265 -2.374893 0.216988
13.902 0.113584 0.020011 -2.345223 0.217348
14.002 0.113419 0.019836 -2.299844 0.217588
14.105 0.113519 0.019953 -2.266683 0.217742
14.203 0.113783 0.020279 -2.242248 0.218161
14.302 0.113724 0.020196 -2.203851 0.218262
14.402 0.113655 0.020111 -2.161963 0.218372
14.502 0.113845 0.020406 -2.134038 0.218723
14.602 0.113613 0.020015 -2.097386 0.219177
14.702 0.113564 0.019927 -2.053753 0.219277
14.802 0.113510 0.019818 -2.027573 0.219399
14.902 0.113627 0.020071 -2.001393 0.219678
15.002 0.113613 0.020020 -1.950778 0.219732
15.102 0.113512 0.019758 -1.924599 0.220013
15.202 0.113699 0.020307 -1.882885 0.220593
15.302 0.089406 0.056932 -1.847488 0.264542
15.402 0.089421 0.056991 -1.823228 0.264603
15.505 0.089509 0.057381 -1.781340 0.265003
15.605 0.089548 0.057566 -1.749749 0.265192
15.702 0.089510 0.057329 -1.721824 0.265432
15.802 0.089507 0.057307 -1.679762 0.265454
15.902 0.089475 0.056949 -1.644855 0.265813
16.002 0.089481 0.057049 -1.616755 0.265912
16.102 0.089495 0.057517 -1.573122 0.266381
16.202 0.089495 0.057498 -1.541706 0.266401
