# t_sec x y yaw_rad cum_dist_m
0.102 -0.010819 0.001562 -0.000000 0.000000
0.201 -0.010718 0.001562 -0.000000 0.000101
0.302 -0.011019 0.001560 0.010472 0.000401
0.401 -0.000227 0.001390 0.031198 0.011193
0.501 -0.000585 0.001372 0.059123 0.011551
0.601 -0.000528 0.001374 0.107992 0.011608
0.701 -0.000519 0.001373 0.132427 0.011617
0.802 -0.000931 0.001315 0.160352 0.012033
0.901 -0.000774 0.001337 0.209222 0.012191
1.003 -0.001698 0.001125 0.235402 0.013139
1.109 -0.001259 0.001241 0.270308 0.013593
1.201 -0.001297 0.001220 0.312196 0.013637
1.302 -0.001682 0.001088 0.341867 0.014044
1.402 -0.001329 0.001225 0.376773 0.014423
1.501 -0.001772 0.001041 0.418661 0.014902
1.601 -0.001881 0.000991 0.436114 0.015022
1.701 -0.002119 0.000869 0.467530 0.015289
1.801 -0.002383 0.000736 0.514654 0.015585
1.901 -0.002158 0.000868 0.542579 0.015845
2.001 -0.002749 0.000494 0.573995 0.016545
2.101 -0.002638 0.000578 0.624784 0.016684
2.201 -0.002896 0.000384 0.649045 0.017007
2.301 -0.003196 0.000149 0.677144 0.017388
2.401 0.036506 -0.004820 0.745810 0.057400
2.501 0.036376 -0.004946 0.777226 0.057581
2.601 0.036951 -0.004366 0.812132 0.058398
2.701 0.036264 -0.005121 0.843548 0.059419
2.802 0.036314 -0.005056 0.876710 0.059501
2.901 0.036279 -0.005109 0.915107 0.059565
3.002 0.035915 -0.005602 0.951759 0.060177
3.105 0.036201 -0.005189 0.981429 0.060680
3.201 0.036126 -0.005305 1.009355 0.060818
3.301 0.036104 -0.005335 1.056479 0.060855
3.401 0.035970 -0.005583 1.084404 0.061137
3.501 0.035934 -0.005651 1.124546 0.061214
3.601 0.035919 -0.005691 1.159453 0.061256
3.701 0.035819 -0.005932 1.189124 0.061518
3.801 0.035693 -0.006270 1.231011 0.061878
3.902 -0.022064 0.002196 1.241204 0.120252
4.001 -0.022174 0.001851 1.278030 0.120615
4.101 -0.022222 0.001674 1.311366 0.120798
4.201 -0.022259 0.001519 1.343131 0.120957
4.302 -0.022237 0.001617 1.372802 0.121058
4.401 -0.022344 0.001035 1.398982 0.121648
4.501 -0.022354 0.000992 1.447851 0.121693
4.601 -0.022359 0.000953 1.475776 0.121732
4.705 -0.022385 0.000637 1.496720 0.122049
4.803 -0.022400 0.000433 1.547335 0.122254
4.901 -0.022398 0.000473 1.577005 0.122295
5.001 -0.022398 0.000429 1.603185 0.122339
5.101 -0.022366 -0.000139 1.646818 0.122907
5.201 -0.022391 0.000122 1.674744 0.123170
5.301 -0.022341 -0.000274 1.707905 0.123569
5.401 -0.022347 -0.000216 1.746302 0.123627
5.503 -0.026921 0.000879 1.775999 0.128330
5.606 -0.039879 0.004540 1.810643 0.141794
5.702 -0.039999 0.005004 1.861258 0.142274
5.802 -0.039586 0.003689 1.883947 0.143652
5.902 -0.039813 0.004330 1.915363 0.144333
6.001 -0.039628 0.003894 1.962487 0.144807
6.101 -0.039544 0.003696 1.988667 0.145022
6.202 -0.039754 0.004147 2.030555 0.145520
6.301 -0.039484 0.003621 2.060225 0.146112
6.402 -0.039589 0.003794 2.102113 0.146315
6.501 -0.039241 0.003230 2.135275 0.146977
6.602 -0.039300 0.003320 2.163200 0.147085
6.701 -0.039420 0.003492 2.187460 0.147294
6.801 -0.038899 0.002797 2.234758 0.148162
6.901 -0.045850 0.007296 2.260927 0.156442
7.001 -0.063315 0.018371 2.284091 0.177122
7.102 -0.063152 0.018189 2.315506 0.177366
7.201 -0.062983 0.018017 2.346922 0.177608
7.301 -0.062828 0.017863 2.387240 0.177826
7.401 -0.062993 0.018017 2.408183 0.178052
7.501 -0.062384 0.017492 2.443090 0.178856
7.601 -0.062783 0.017807 2.481662 0.179364
7.703 -0.062541 0.017628 2.509587 0.179666
7.801 -0.061949 0.017215 2.556711 0.180388
7.901 -0.062134 0.017335 2.593363 0.180609
8.002 -0.062098 0.017314 2.617798 0.180650
8.102 -0.062049 0.017286 2.661431 0.180707
8.201 -0.061754 0.017138 2.694767 0.181036
8.301 -0.061681 0.017104 2.715885 0.181117
8.402 -0.061716 0.017123 2.757947 0.181156
8.501 -0.061377 0.016992 2.780637 0.181519
8.605 -0.067879 0.000303 2.807213 0.199431
8.702 -0.078860 -0.027165 2.822071 0.229012
8.802 -0.078419 -0.027302 2.843015 0.229475
8.905 -0.078588 -0.027260 2.879667 0.229649
9.002 -0.078683 -0.027235 2.909337 0.229747
9.102 -0.078401 -0.027295 2.933772 0.230035
9.203 -0.077769 -0.027415 2.984387 0.230679
9.301 -0.077811 -0.027409 3.012312 0.230722
9.425 -0.077563 -0.027437 3.040237 0.230972
9.502 -0.077808 -0.027421 3.089106 0.231217
9.602 -0.077544 -0.027430 3.117032 0.231481
9.705 -0.077479 -0.027429 -3.136483 0.231547
9.802 -0.077560 -0.027432 -3.096340 0.231628
9.902 -0.077180 -0.027408 -3.059689 0.232009
10.004 -0.077062 -0.027398 -3.030018 0.232127
10.102 -0.077057 -0.027395 -3.003838 0.232133
10.201 -0.025682 -0.025234 -2.901603 0.283553
10.303 -0.006695 -0.024371 -2.851853 0.302560
10.401 -0.006753 -0.024391 -2.825673 0.302621
10.502 -0.006913 -0.024442 -2.783785 0.302789
10.601 -0.006293 -0.024198 -2.752369 0.303456
10.701 -0.006631 -0.024346 -2.720779 0.303826
10.801 -0.006038 -0.024047 -2.677146 0.304490
10.918 -0.005950 -0.024006 -2.645730 0.304587
11.002 -0.006018 -0.024042 -2.610823 0.304664
11.102 -0.005611 -0.023795 -2.570681 0.305140
11.202 -0.006045 -0.024080 -2.549562 0.305659
11.302 -0.005882 -0.023964 -2.519892 0.305859
11.401 -0.005700 -0.023832 -2.469277 0.306084
11.502 -0.005745 -0.023866 -2.446413 0.306140
