# t_sec x y yaw_rad cum_dist_m
0.102 -0.018771 0.003125 0.000000 0.000000
0.201 -0.018731 0.003125 0.000000 0.000040
0.302 -0.018731 0.003125 0.000000 0.000040
0.410 -0.018731 0.003125 0.000000 0.000040
0.501 -0.018731 0.003125 0.000000 0.000040
0.602 -0.018772 0.003125 0.000000 0.000081
0.701 -0.018941 0.003124 0.031416 0.000250
0.811 -0.018960 0.003123 0.048869 0.000269
0.902 -0.019245 0.003099 0.085696 0.000555
1.002 -0.019177 0.003112 0.122348 0.000624
1.101 -0.018690 0.003177 0.158999 0.001115
1.201 -0.016875 -0.003857 0.216471 0.008379
1.301 -0.016178 -0.004947 0.254880 0.009674
1.402 -0.016065 -0.004920 0.300259 0.009791
1.501 -0.016237 -0.004976 0.324693 0.009972
1.601 -0.016123 -0.004934 0.352619 0.010092
1.701 -0.016310 -0.005012 0.396252 0.010294
1.801 -0.016200 -0.004965 0.410215 0.010415
1.904 -0.016355 -0.005042 0.448612 0.010588
2.002 -0.016287 -0.004999 0.495736 0.010668
2.103 -0.016007 -0.004843 0.523661 0.010988
2.201 -0.016294 -0.005016 0.551586 0.011323
2.301 -0.016633 -0.005236 0.598710 0.011728
2.401 -0.016765 -0.005331 0.630126 0.011890
2.501 -0.016931 -0.005452 0.658400 0.012095
2.601 -0.016897 -0.005432 0.696798 0.012135
2.701 -0.017159 -0.005658 0.724897 0.012480
2.802 0.008931 0.008477 0.742520 0.042153
2.902 0.008719 0.008267 0.786153 0.042451
3.001 0.008646 0.008193 0.814078 0.042555
3.101 0.008816 0.008380 0.848985 0.042808
3.201 0.008692 0.008230 0.889127 0.043002
3.301 0.008704 0.008246 0.904835 0.043021
3.401 0.008501 0.007973 0.948469 0.043362
3.502 0.008566 0.008071 0.981630 0.043480
3.601 0.008804 0.008438 1.007810 0.043918
3.702 0.008426 0.007799 1.046207 0.044660
3.802 0.008496 0.007926 1.075878 0.044805
3.901 0.008488 0.007910 1.121431 0.044823
4.002 0.008431 0.007788 1.145865 0.044958
4.101 0.008310 0.007508 1.179027 0.045262
4.208 0.008299 0.007485 1.208697 0.045288
4.301 0.008472 0.007960 1.245349 0.045794
4.401 0.008345 0.007556 1.275020 0.046217
4.505 0.008263 0.007265 1.311672 0.046519
4.601 -0.011793 0.001109 1.354797 0.067498
4.701 -0.011827 0.000933 1.382722 0.067678
4.801 -0.011927 0.000365 1.431592 0.068255
4.902 -0.011877 0.000775 1.457772 0.068669
5.001 -0.011888 0.000637 1.487442 0.068808
5.101 -0.011898 0.000458 1.536311 0.068987
5.202 -0.011901 0.000220 1.560746 0.069225
5.301 -0.011906 0.000322 1.595653 0.069327
5.402 -0.011906 0.000320 1.621833 0.069329
5.501 -0.011848 -0.000379 1.663720 0.070030
5.619 -0.011855 -0.000318 1.679428 0.070091
5.710 -0.011880 -0.000078 1.726552 0.070333
5.801 -0.011782 -0.000649 1.752732 0.070912
5.902 -0.011867 -0.000258 1.801601 0.071313
6.001 -0.011845 -0.000339 1.827781 0.071397
6.101 -0.011864 -0.000295 1.866179 0.071445
6.202 -0.036434 0.010155 1.901527 0.098145
6.301 -0.037320 0.010065 1.925981 0.099035
6.401 -0.037506 0.010526 1.966123 0.099532
6.511 -0.037505 0.010526 1.997539 0.099532
6.602 -0.037311 0.010126 2.030701 0.099977
6.701 -0.037339 0.010184 2.069098 0.100041
6.801 -0.037380 0.010255 2.090042 0.100123
6.901 -0.037271 0.010085 2.126694 0.100325
7.001 -0.036966 0.009615 2.166836 0.100885
7.102 -0.037215 0.009973 2.187955 0.101322
7.201 -0.037235 0.010006 2.229843 0.101360
7.302 -0.036839 0.009511 2.257768 0.101994
7.401 -0.036843 0.009515 2.298085 0.102000
7.522 -0.036922 0.009602 2.317109 0.102117
7.601 -0.036967 0.009642 2.355681 0.102177
7.702 -0.010832 0.030059 2.398566 0.135342
7.802 -0.010391 0.030247 2.435478 0.135821
7.901 -0.010835 0.030617 2.458342 0.136399
8.001 -0.010466 0.030338 2.498484 0.136862
8.101 -0.010591 0.030422 2.535311 0.137012
8.205 -0.010495 0.030357 2.566727 0.137129
8.302 -0.010328 0.030250 2.601808 0.137327
8.401 -0.010523 0.030367 2.633049 0.137555
8.501 -0.010332 0.030265 2.659404 0.137771
8.602 -0.010548 0.030366 2.694310 0.138009
8.701 -0.010209 0.030223 2.738118 0.138376
8.801 -0.009699 0.030012 2.762553 0.138929
8.902 -0.009793 0.030047 2.783497 0.139029
9.001 -0.009735 0.030030 2.828875 0.139090
9.103 -0.009697 0.030019 2.851565 0.139129
9.201 -0.009306 0.029909 2.879490 0.139535
9.302 -0.046076 -0.015726 2.894844 0.198140
9.402 -0.045867 -0.015774 2.917533 0.198354
9.502 -0.045494 -0.015852 2.948949 0.198735
9.601 -0.045752 -0.015812 2.994328 0.198996
9.701 -0.045960 -0.015784 3.027489 0.199206
9.801 -0.045243 -0.015848 3.062396 0.199926
9.907 -0.045025 -0.015864 3.086830 0.200144
10.002 -0.045087 -0.015862 3.119991 0.200206
10.112 -0.045209 -0.015862 -3.119561 0.200328
10.203 -0.044970 -0.015852 -3.091635 0.200568
10.301 -0.044649 -0.015832 -3.070691 0.200889
10.401 -0.045266 -0.015899 -3.027058 0.201510
10.501 -0.045028 -0.015864 -2.997388 0.201751
10.603 -0.044410 -0.015769 -2.958990 0.202377
10.712 -0.044804 -0.015845 -2.931065 0.202778
10.801 -0.044414 -0.015748 -2.890923 0.203179
10.901 -0.044534 -0.015783 -2.855841 0.203303
11.001 -0.044592 -0.015801 -2.829662 0.203364
11.103 -0.000260 -0.020409 -2.725987 0.247934
11.202 -0.000484 -0.020510 -2.696141 0.248179
11.319 0.000175 -0.020183 -2.671707 0.248915
11.401 0.000028 -0.020271 -2.626328 0.249085
11.502 -0.000292 -0.020457 -2.593167 0.249456
11.601 -0.000072 -0.020318 -2.561577 0.249716
11.702 -0.000304 -0.020477 -2.525099 0.249997
11.801 -0.000224 -0.020418 -2.498919 0.250097
11.902 -0.000048 -0.020277 -2.463838 0.250322
12.002 0.000120 -0.020137 -2.428931 0.250540
12.101 0.000015 -0.020238 -2.394025 0.250685
12.226 -0.000216 -0.020454 -2.367845 0.251002
12.302 0.000417 -0.019802 -2.325957 0.251911
12.401 0.000488 -0.019726 -2.310249 0.252015
12.501 0.000514 -0.019692 -2.261380 0.252058
12.601 0.000367 -0.019876 -2.231709 0.252293
12.705 0.000427 -0.019796 -2.200293 0.252393
12.801 0.004849 0.004174 -2.146213 0.276768
12.901 0.004470 0.003563 -2.116542 0.277487
13.004 0.004668 0.003906 -2.085126 0.277883
13.102 0.004938 0.004393 -2.046729 0.278440
13.202 0.004696 0.003902 -2.010077 0.278988
13.303 0.004810 0.004162 -1.985642 0.279273
13.401 0.005008 0.004627 -1.940264 0.279778
13.501 0.004965 0.004511 -1.908848 0.279901
13.602 0.004991 0.004585 -1.887904 0.279981
13.702 0.004865 0.004168 -1.851252 0.280416
13.802 0.004990 0.004645 -1.809364 0.280909
13.901 0.005012 0.004743 -1.783184 0.281009
14.002 0.004994 0.004647 -1.753514 0.281107
14.106 0.005037 0.004904 -1.711626 0.281368
14.201 0.005057 0.005060 -1.692427 0.281524
14.302 0.005054 0.005039 -1.652284 0.281545
14.402 0.004479 0.008390 -1.604146 0.284945
14.501 0.000044 0.036124 -1.482974 0.313032
14.608 0.000010 0.036442 -1.442831 0.313351
14.708 0.000056 0.036124 -1.409670 0.313671
14.806 0.000010 0.036361 -1.374763 0.313913
14.902 -0.000073 0.036751 -1.348583 0.314311
15.001 -0.000049 0.036654 -1.322403 0.314411
15.101 -0.000045 0.036632 -1.270043 0.314434
15.201 -0.000013 0.036539 -1.242118 0.314532
15.301 -0.000231 0.037122 -1.201976 0.315154
15.401 -0.000275 0.037235 -1.172305 0.315275
15.501 -0.000035 0.036688 -1.146125 0.315873
15.601 -0.000277 0.037176 -1.104237 0.316418
15.707 -0.000305 0.037233 -1.074566 0.316482
15.801 -0.000209 0.037064 -1.036169 0.316677
15.901 -0.000462 0.037472 -1.004753 0.317157
16.002 -0.010858 0.039137 -0.919043 0.327685
16.102 -0.010759 0.039010 -0.899845 0.327846
