# t_sec x y yaw_rad cum_dist_m
0.113 -0.006271 0.001563 -0.000000 0.000000
0.202 -0.006131 0.001563 -0.000000 0.000140
0.302 -0.006131 0.001563 -0.000000 0.000141
0.403 -0.007182 0.001565 -0.000024 0.001192
0.503 -0.007683 0.001567 -0.000035 0.001693
0.602 -0.007723 0.001567 0.003456 0.001733
0.702 -0.007561 0.001570 0.036792 0.001895
0.802 -0.007762 0.001560 0.055990 0.002096
0.903 -0.007599 0.001572 0.083916 0.002259
1.002 -0.007561 0.001578 0.130865 0.002297
1.102 -0.007083 0.001649 0.157394 0.002780
1.202 -0.007301 0.001611 0.176593 0.003001
1.302 -0.007240 0.001622 0.223716 0.003063
1.402 -0.007203 0.001631 0.255132 0.003101
1.502 -0.006973 0.001695 0.281312 0.003340
1.603 -0.006761 0.001764 0.330181 0.003562
1.702 -0.007049 0.001659 0.358107 0.003869
1.802 -0.007031 0.001665 0.394759 0.003888
1.902 -0.006829 0.001753 0.431411 0.004108
2.002 -0.006787 0.001773 0.461081 0.004154
2.102 -0.006893 0.001725 0.506460 0.004271
2.204 -0.006841 0.001755 0.532640 0.004331
2.302 -0.006706 0.001834 0.567546 0.004488
2.402 -0.006840 0.001742 0.607514 0.004650
2.512 -0.006268 0.002153 0.630553 0.005353
2.604 0.014833 0.007855 0.690462 0.027211
2.702 0.022650 0.009904 0.733883 0.035292
2.802 0.022856 0.010094 0.761808 0.035572
2.902 0.022720 0.009953 0.801951 0.035768
3.003 0.023077 0.010339 0.835112 0.036293
3.102 0.023050 0.010309 0.866528 0.036333
3.202 0.023049 0.010308 0.899689 0.036334
3.302 0.023278 0.010604 0.938086 0.036708
3.402 0.023209 0.010503 0.969502 0.036831
3.502 0.023032 0.010239 0.993937 0.037149
3.602 0.023208 0.010528 1.042806 0.037488
3.706 0.023160 0.010441 1.065495 0.037587
3.815 0.023209 0.010529 1.122917 0.037688
3.902 0.023243 0.010603 1.138799 0.037769
4.002 0.023316 0.010766 1.159743 0.037947
4.106 0.001850 0.003720 1.204221 0.060541
4.206 -0.005064 0.001457 1.232476 0.067815
4.308 -0.004950 0.001798 1.256911 0.068175
4.402 -0.004854 0.002129 1.302290 0.068520
4.502 -0.004910 0.001914 1.324979 0.068742
4.602 -0.004987 0.001585 1.353079 0.069080
4.702 -0.004814 0.002447 1.403693 0.069958
4.802 -0.004866 0.002086 1.431618 0.070322
4.909 -0.004884 0.001972 1.461289 0.070438
5.003 -0.004836 0.002599 1.510158 0.071067
5.102 -0.004857 0.002139 1.534593 0.071527
5.203 -0.004848 0.002555 1.559027 0.071944
5.302 -0.004849 0.002516 1.606151 0.071983
5.402 -0.004878 0.003029 1.635822 0.072496
5.502 -0.004867 0.002905 1.663747 0.072620
5.602 -0.004838 0.002652 1.709126 0.072875
5.702 -0.004891 0.003004 1.737051 0.073231
5.811 -0.004921 0.003181 1.763231 0.073411
5.904 -0.026600 0.008775 1.809862 0.095800
6.002 -0.026653 0.008973 1.834297 0.096005
6.104 -0.026692 0.009106 1.858731 0.096143
6.202 -0.026693 0.009132 1.907601 0.096169
6.302 -0.026663 0.009053 1.937271 0.096254
6.402 -0.026717 0.009179 1.961706 0.096391
6.502 -0.026728 0.009201 2.005339 0.096416
6.602 -0.026748 0.009238 2.036755 0.096458
6.702 -0.026918 0.009570 2.059444 0.096831
6.806 -0.026843 0.009437 2.101332 0.096983
6.902 -0.026840 0.009430 2.127512 0.096991
7.003 -0.026900 0.009525 2.157183 0.097103
7.102 -0.026918 0.009559 2.206052 0.097142
7.202 -0.027049 0.009733 2.232057 0.097360
7.302 -0.027089 0.009779 2.266964 0.097421
7.402 -0.009077 0.013771 2.335713 0.115870
7.502 -0.009117 0.013812 2.358577 0.115926
7.602 -0.009118 0.013818 2.396974 0.115932
7.702 -0.009430 0.014097 2.428390 0.116351
7.802 -0.009498 0.014156 2.468533 0.116441
7.904 -0.009355 0.014041 2.501869 0.116624
8.002 -0.009403 0.014075 2.522987 0.116684
8.103 -0.009512 0.014159 2.566620 0.116821
8.202 -0.009403 0.014091 2.601527 0.116949
8.302 -0.009524 0.014161 2.625962 0.117089
8.402 -0.009596 0.014199 2.659297 0.117171
8.502 -0.009306 0.014057 2.701360 0.117493
8.602 -0.009563 0.014172 2.727540 0.117775
8.706 -0.009616 0.014195 2.762272 0.117833
8.802 -0.009919 0.014310 2.797527 0.118157
8.903 -0.009634 0.014212 2.827198 0.118459
9.002 -0.009820 0.014269 2.851633 0.118654
9.102 -0.043313 -0.008726 2.851036 0.159281
9.202 -0.043360 -0.008713 2.880707 0.159329
9.302 -0.043243 -0.008744 2.905142 0.159450
9.408 -0.043459 -0.008706 2.954011 0.159670
9.503 -0.043385 -0.008716 2.978445 0.159745
9.603 -0.043067 -0.008762 3.004625 0.160065
9.704 -0.043707 -0.008706 3.055240 0.160707
9.802 -0.044062 -0.008682 3.083165 0.161063
9.902 -0.043735 -0.008698 3.114581 0.161391
10.002 -0.043690 -0.008694 -3.131952 0.161436
10.102 -0.043789 -0.008694 -3.102282 0.161535
