# t_sec x y yaw_rad cum_dist_m
0.101 0.003125 0.003125 -0.000000 0.000000
0.203 0.003125 0.003125 -0.000000 0.000000
0.301 0.003125 0.003125 -0.000000 0.000000
0.408 0.003125 0.003125 -0.000000 0.000000
0.501 0.003125 0.003125 -0.000000 0.000000
0.601 0.003125 0.003125 -0.000000 0.000000
0.701 0.003125 0.003125 -0.000000 0.000000
0.801 0.003125 0.003125 -0.000000 0.000000
0.901 0.003125 0.003125 -0.000000 0.000000
1.001 0.003125 0.003125 -0.000000 0.000000
1.101 0.003067 0.003125 0.015708 0.000058
1.202 0.003127 0.003126 0.043633 0.000119
1.301 0.003147 0.003127 0.068068 0.000138
1.401 0.002807 0.003098 0.102974 0.000479
1.501 0.003046 0.003121 0.137881 0.000720
1.601 0.003124 0.003134 0.165806 0.000799
1.701 0.003360 0.003178 0.188670 0.001039
1.801 0.002582 0.003006 0.228813 0.001836
1.901 0.002678 0.003032 0.260229 0.001936
2.001 0.003062 0.003140 0.293390 0.002335
2.101 0.002451 0.002938 0.335278 0.002979
2.201 0.002839 0.003082 0.359712 0.003394
2.302 0.002655 0.003006 0.387638 0.003593
2.401 0.002325 0.002862 0.431271 0.003953
2.501 0.002835 0.003106 0.459196 0.004519
2.602 0.002924 0.003152 0.485376 0.004619
2.701 0.003163 0.003297 0.535991 0.004898
2.801 0.002943 0.003160 0.563916 0.005157
2.902 0.002743 0.003029 0.584860 0.005396
3.002 0.002692 0.002998 0.637220 0.005456
3.102 0.017449 0.011915 0.680978 0.022698
3.204 0.025022 0.016472 0.716376 0.031536
3.301 0.025347 0.016769 0.766991 0.031977
3.401 0.025235 0.016656 0.793171 0.032136
3.501 0.025400 0.016830 0.817606 0.032377
3.601 0.025143 0.016534 0.862984 0.032770
3.701 0.025280 0.016703 0.887419 0.032988
3.801 0.025370 0.016813 0.917089 0.033130
3.901 0.025203 0.016587 0.962468 0.033411
4.001 0.025394 0.016867 0.986902 0.033750
4.101 0.025115 0.016426 1.032281 0.034272
4.201 0.025272 0.016704 1.060206 0.034591
4.301 0.025148 0.016458 1.095113 0.034866
4.401 0.025059 0.016280 1.128274 0.035066
4.501 0.025307 0.016826 1.152709 0.035666
4.601 0.025210 0.016585 1.189535 0.035926
4.701 0.025180 0.016526 1.227932 0.035992
4.806 0.001272 0.010073 1.259251 0.060756
4.901 -0.009831 0.006520 1.290798 0.072413
5.001 -0.009749 0.006825 1.313312 0.072729
5.101 -0.009714 0.006961 1.355200 0.072870
