# t_sec x y yaw_rad cum_dist_m
0.114 -0.004688 0.003125 -0.000000 0.000000
0.211 -0.004688 0.003125 -0.000000 0.000000
0.311 -0.004688 0.003125 -0.000000 0.000000
0.411 -0.004688 0.003125 -0.000000 0.000000
0.514 -0.004688 0.003125 -0.000000 0.000000
0.611 -0.004688 0.003125 -0.000000 0.000000
0.711 -0.004688 0.003125 -0.000000 0.000000
0.811 -0.004888 0.003124 0.008727 0.000201
0.927 -0.004783 0.003129 0.038397 0.000306
1.011 -0.004937 0.003117 0.068068 0.000461
1.111 -0.005116 0.003102 0.092502 0.000641
1.214 -0.004834 0.003135 0.120428 0.000924
1.314 -0.005011 0.003105 0.174533 0.001104
1.412 -0.004498 0.003204 0.195477 0.001626
1.511 -0.005066 0.003073 0.233874 0.002208
1.611 -0.005090 0.003068 0.267035 0.002233
1.713 -0.004533 0.003225 0.301942 0.002812
1.811 -0.004907 0.003099 0.338594 0.003206
1.911 -0.004768 0.003152 0.368264 0.003355
2.011 -0.005138 0.003001 0.403171 0.003754
2.111 -0.004798 0.003160 0.445059 0.004129
2.212 -0.004870 0.003124 0.467748 0.004210
2.311 -0.005009 0.003052 0.507891 0.004366
2.411 -0.004471 0.003361 0.551524 0.004987
2.512 -0.004994 0.003027 0.575959 0.005607
2.611 -0.004983 0.003038 0.603709 0.005622
2.711 -0.004853 0.003122 0.654498 0.005776
2.811 -0.005105 0.002923 0.682598 0.006097
2.911 -0.004782 0.003194 0.715585 0.006518
3.015 0.013909 0.027871 0.779906 0.037475
3.111 0.014242 0.028218 0.821794 0.037956
3.212 0.014110 0.028068 0.856700 0.038155
3.311 0.014134 0.028100 0.891607 0.038195
3.415 0.014133 0.028097 0.917787 0.038199
3.511 0.014066 0.027997 0.959675 0.038319
3.611 0.014246 0.028262 0.987600 0.038639
3.711 0.014128 0.028076 1.029488 0.038859
3.819 0.014357 0.028477 1.064395 0.039321
3.911 0.014012 0.027821 1.099301 0.040063
4.013 0.013924 0.027642 1.132462 0.040262
4.111 0.014152 0.028140 1.172605 0.040809
4.211 0.014002 0.027768 1.204021 0.041211
4.311 0.014146 0.028171 1.235437 0.041638
4.411 0.014085 0.027985 1.259872 0.041834
4.511 0.014118 0.028102 1.312231 0.041955
4.611 0.014103 0.028037 1.336666 0.042022
4.711 -0.011321 0.015992 1.370095 0.070155
4.811 -0.018313 0.013050 1.413802 0.077741
4.911 -0.018415 0.012330 1.445218 0.078467
5.012 -0.018378 0.012730 1.482044 0.078869
5.111 -0.018371 0.012813 1.508224 0.078952
5.211 -0.018384 0.012489 1.548367 0.079277
5.312 -0.018383 0.012864 1.593746 0.079652
5.411 -0.018379 0.012784 1.618180 0.079732
5.511 -0.018408 0.013172 1.654832 0.080120
5.619 -0.018375 0.012855 1.693229 0.080439
5.713 -0.018398 0.013013 1.719409 0.080599
5.811 -0.018448 0.013336 1.749080 0.080926
5.913 -0.018343 0.012808 1.797949 0.081465
6.011 -0.022501 0.014085 1.849992 0.085815
6.134 -0.022359 0.013623 1.877918 0.086299
6.211 -0.022487 0.013982 1.926787 0.086681
