# t_sec x y yaw_rad cum_dist_m
0.111 0.000000 0.003125 -0.000000 0.000000
0.203 0.000000 0.003125 -0.000000 0.000000
0.303 0.000000 0.003125 -0.000000 0.000000
0.403 0.000000 0.003125 -0.000000 0.000000
0.503 -0.000020 0.003125 0.001745 0.000020
0.603 -0.000281 0.003123 0.015708 0.000281
0.704 -0.000029 0.003134 0.061087 0.000534
0.805 -0.000378 0.003107 0.097738 0.000885
0.904 -0.000499 0.003094 0.108210 0.001006
1.003 -0.000397 0.003104 0.151844 0.001108
1.103 -0.000515 0.003084 0.185005 0.001228
1.203 -0.000279 0.003132 0.205949 0.001469
1.304 -0.000864 0.002993 0.244346 0.002069
1.403 -0.000826 0.003005 0.275762 0.002109
1.503 -0.004157 0.007475 0.343586 0.007684
1.603 -0.007651 0.011720 0.388174 0.013181
1.704 -0.007303 0.011870 0.414354 0.013559
1.803 -0.007395 0.011826 0.449261 0.013661
1.905 -0.007377 0.011835 0.487658 0.013681
2.004 -0.007671 0.011669 0.515583 0.014020
2.104 -0.007725 0.011642 0.550490 0.014079
2.203 -0.007521 0.011773 0.594123 0.014321
2.304 -0.007867 0.011533 0.615067 0.014741
2.403 -0.007909 0.011517 0.663936 0.014787
2.503 -0.007908 0.011517 0.690116 0.014788
2.603 -0.008107 0.011346 0.714551 0.015051
2.704 -0.008213 0.011254 0.761500 0.015191
2.803 -0.008039 0.011424 0.786109 0.015435
2.904 -0.008289 0.011165 0.812289 0.015795
3.004 -0.008250 0.011211 0.856097 0.015855
3.104 -0.008320 0.011125 0.884022 0.015965
3.204 -0.008523 0.010870 0.913693 0.016291
3.304 -0.024372 0.005703 0.952800 0.032961
3.404 -0.024705 0.005206 0.987706 0.033559
3.504 -0.024739 0.005155 1.013886 0.033620
3.604 -0.024426 0.005677 1.048793 0.034229
3.704 -0.024745 0.005095 1.085619 0.034892
3.804 -0.024728 0.005130 1.115115 0.034931
3.904 -0.024552 0.005499 1.146880 0.035340
4.004 -0.024679 0.005203 1.190514 0.035661
4.104 -0.024622 0.005351 1.213203 0.035820
4.204 -0.024677 0.005202 1.256836 0.035980
4.304 -0.024615 0.005394 1.286507 0.036181
4.406 -0.024678 0.005162 1.316177 0.036422
4.504 -0.024748 0.004886 1.352829 0.036706
4.604 -0.024764 0.004807 1.392972 0.036787
4.709 -0.024777 0.004728 1.417406 0.036867
4.804 -0.024774 0.004749 1.450568 0.036888
4.904 -0.007189 0.012335 1.488215 0.056040
5.003 -0.007173 0.012556 1.514395 0.056260
5.107 -0.007180 0.012313 1.542320 0.056503
5.204 -0.007189 0.011977 1.585953 0.056839
5.306 -0.007207 0.012480 1.633077 0.057342
5.404 -0.007184 0.012137 1.636742 0.057686
5.504 -0.007204 0.012203 1.685611 0.057754
5.603 -0.007177 0.012005 1.715282 0.057953
5.704 -0.007107 0.011566 1.743207 0.058398
5.804 -0.007149 0.011806 1.792076 0.058642
5.904 -0.007041 0.011357 1.820002 0.059104
6.004 -0.007100 0.011567 1.846182 0.059322
6.107 -0.007101 0.011594 1.895051 0.059349
6.203 -0.006994 0.011292 1.921231 0.059669
6.304 -0.007064 0.011476 1.950901 0.059865
6.404 -0.006168 -0.002349 2.013044 0.073719
6.504 -0.006167 -0.002348 2.035733 0.073720
6.603 -0.006101 -0.002479 2.070640 0.073867
6.704 -0.006162 -0.002376 2.112528 0.073986
6.803 -0.006129 -0.002423 2.142198 0.074044
6.906 -0.005962 -0.002673 2.177105 0.074345
7.004 -0.005857 -0.002811 2.220738 0.074518
7.104 -0.005783 -0.002907 2.245173 0.074639
7.204 -0.005950 -0.002707 2.281825 0.074899
7.304 -0.005949 -0.002704 2.321967 0.074902
7.406 -0.005712 -0.002950 2.349892 0.075244
7.503 -0.006030 -0.002640 2.377818 0.075688
7.604 -0.005582 -0.003044 2.430178 0.076291
7.704 -0.005415 -0.003186 2.456357 0.076510
7.804 -0.004090 -0.010311 2.479221 0.083757
7.903 -0.002570 -0.017062 2.519814 0.090678
8.003 -0.002475 -0.017128 2.551230 0.090794
8.103 -0.002594 -0.017052 2.573919 0.090935
8.204 -0.002345 -0.017191 2.622788 0.091220
8.304 -0.002189 -0.017279 2.648968 0.091399
8.403 -0.002582 -0.017076 2.676894 0.091841
8.504 -0.001962 -0.017364 2.725588 0.092525
8.608 -0.002200 -0.017267 2.755433 0.092781
8.705 -0.002014 -0.017332 2.793656 0.092978
8.803 -0.001560 -0.017487 2.826992 0.093458
8.903 -0.002002 -0.017354 2.856663 0.093919
9.004 -0.001903 -0.017379 2.884588 0.094021
9.110 -0.002017 -0.017360 2.945674 0.094137
9.203 -0.001565 -0.017444 2.966444 0.094597
9.303 -0.013704 -0.025086 2.981188 0.108941
9.403 -0.013468 -0.025119 3.011034 0.109179
9.503 -0.013071 -0.025164 3.045940 0.109579
9.604 -0.013210 -0.025158 3.087828 0.109718
9.704 -0.013231 -0.025156 3.115753 0.109739
9.804 -0.013428 -0.025157 -3.136016 0.109936
9.903 -0.013110 -0.025145 -3.104600 0.110255
10.003 -0.013188 -0.025158 -3.062538 0.110334
10.103 -0.012951 -0.025130 -3.024140 0.110573
10.204 -0.012633 -0.025088 -2.992725 0.110893
10.303 -0.012913 -0.025135 -2.968290 0.111177
10.403 -0.013090 -0.025167 -2.938619 0.111357
10.503 -0.012732 -0.025090 -2.896731 0.111722
10.603 -0.012711 -0.025081 -2.868806 0.111745
10.703 -0.012238 -0.024940 -2.840881 0.112239
10.804 -0.003959 -0.028912 -2.783255 0.121421
10.903 0.020727 -0.038884 -2.739784 0.148046
11.003 0.021134 -0.038705 -2.715350 0.148490
11.104 0.020792 -0.038871 -2.668226 0.148871
11.204 0.020970 -0.038774 -2.629829 0.149073
11.303 0.020885 -0.038824 -2.598413 0.149172
11.403 0.021002 -0.038751 -2.575723 0.149310
11.504 0.021137 -0.038665 -2.575723 0.149471
11.604 0.021390 -0.038501 -2.558270 0.149773
11.705 0.021405 -0.038491 -2.542562 0.149791
11.809 0.021650 -0.038315 -2.498929 0.150092
11.903 0.021656 -0.038309 -2.474494 0.150100
12.004 0.021665 -0.038302 -2.437842 0.150112
12.103 0.021802 -0.038181 -2.395780 0.150294
12.204 0.021859 -0.038125 -2.373091 0.150374
12.307 0.021973 -0.038011 -2.344991 0.150535
12.406 0.021920 -0.038077 -2.294376 0.150620
12.504 0.021895 -0.038107 -2.262786 0.150659
12.603 0.030608 -0.001872 -2.216985 0.187926
12.703 0.038211 0.029746 -2.139460 0.220446
12.804 0.038272 0.029847 -2.116596 0.220563
12.904 0.038323 0.029934 -2.092161 0.220665
13.004 0.038263 0.029809 -2.043467 0.220804
13.104 0.038173 0.029625 -2.015367 0.221009
13.204 0.038463 0.030255 -1.992329 0.221702
13.304 0.038333 0.029917 -1.941714 0.222064
13.404 0.038354 0.029982 -1.917279 0.222133
13.507 0.038433 0.030198 -1.868236 0.222363
13.603 0.038391 0.030060 -1.843801 0.222507
13.704 0.038544 0.030643 -1.812560 0.223109
13.804 0.038468 0.030305 -1.784634 0.223455
13.904 0.038475 0.030393 -1.732275 0.223543
14.016 0.038508 0.030611 -1.713076 0.223764
14.104 0.038480 0.030372 -1.676424 0.224005
14.203 0.038499 0.030643 -1.634536 0.224277
