# t_sec x y yaw_rad cum_dist_m
0.104 0.007813 -0.001727 0.001562 0.000000
0.202 0.007813 -0.001727 0.001562 0.000000
0.308 0.007813 -0.001727 0.001562 0.000000
0.402 0.007813 -0.001112 0.001562 0.000615
0.502 0.007813 -0.000164 0.001563 0.001562
0.606 0.007813 -0.000164 0.001563 0.001562
0.702 0.007813 -0.000164 0.001563 0.001562
0.802 0.007813 -0.000164 0.001563 0.001562
0.915 0.007813 -0.000164 0.001563 0.001562
1.002 0.007953 -0.000164 0.012034 0.001702
1.102 0.007911 -0.000166 0.033153 0.001744
1.202 0.007971 -0.000161 0.064743 0.001804
1.302 0.008030 -0.000156 0.103141 0.001864
1.402 0.007672 -0.000199 0.124085 0.002224
1.502 0.007849 -0.000169 0.172954 0.002403
1.602 0.007888 -0.000161 0.204370 0.002443
1.702 0.007693 -0.000203 0.228804 0.002643
1.802 0.007575 -0.000230 0.279419 0.002764
1.902 0.007671 -0.000202 0.296872 0.002864
2.002 0.007691 -0.000195 0.340505 0.002885
2.102 0.007052 -0.000435 0.371921 0.003568
2.202 0.007436 -0.000273 0.410144 0.003985
2.303 0.007634 -0.000186 0.433008 0.004202
2.402 0.007273 -0.000360 0.464424 0.004603
2.502 0.007379 -0.000303 0.502821 0.004723
2.602 0.007310 -0.000342 0.546454 0.004803
2.703 0.007413 -0.000276 0.569144 0.004926
2.803 0.007075 -0.000499 0.590088 0.005330
2.902 0.007169 -0.000422 0.637386 0.005451
3.002 0.001967 -0.003853 0.685315 0.011682
3.102 -0.004283 -0.008001 0.729077 0.019183
3.202 -0.004412 -0.008129 0.776201 0.019365
3.302 -0.004312 -0.008026 0.805871 0.019509
3.402 -0.004270 -0.007979 0.844269 0.019571
3.502 -0.004676 -0.008451 0.868703 0.020193
3.602 -0.004688 -0.008462 0.907100 0.020210
3.702 -0.004689 -0.008474 0.955795 0.020222
3.802 -0.004701 -0.008492 0.973248 0.020244
3.902 -0.004968 -0.008904 1.020721 0.020735
4.002 -0.004920 -0.008814 1.048647 0.020837
4.102 -0.004877 -0.008741 1.078492 0.020922
4.202 -0.005162 -0.009308 1.122125 0.021557
4.302 -0.004901 -0.008728 1.162268 0.022193
4.402 -0.004845 -0.008599 1.179721 0.022333
4.502 0.005555 -0.007039 1.223483 0.032850
4.602 0.005776 -0.006396 1.263626 0.033529
4.702 0.005673 -0.006742 1.284570 0.033890
4.802 0.005630 -0.006876 1.326458 0.034030
