# t_sec x y yaw_rad cum_dist_m
0.107 0.001565 -0.002219 0.006250 0.000000
0.207 0.001565 -0.002219 0.011486 0.000000
0.308 0.001345 -0.002224 0.030685 0.000221
0.407 0.001839 -0.002199 0.056865 0.000715
0.508 0.001517 -0.002241 0.116380 0.001040
0.607 0.001674 -0.002220 0.130168 0.001199
0.707 0.002348 -0.002123 0.158094 0.001880
0.807 0.001994 -0.002188 0.191255 0.002239
0.907 0.002232 -0.002130 0.231397 0.002485
1.007 0.002192 -0.002143 0.261068 0.002527
1.107 0.002265 -0.002116 0.309937 0.002605
1.207 0.002401 -0.002071 0.330881 0.002748
1.307 0.002307 -0.002105 0.357061 0.002848
1.409 0.002699 -0.001940 0.407850 0.003274
1.507 0.002589 -0.001991 0.432285 0.003396
1.607 0.002411 -0.002075 0.454974 0.003593
1.707 0.002961 -0.001790 0.493371 0.004212
1.807 0.002873 -0.001842 0.535259 0.004314
1.907 0.002998 -0.001764 0.556203 0.004461
2.007 0.003142 -0.001676 0.591110 0.004630
2.107 0.003126 -0.001678 0.634743 0.004646
2.228 0.003448 -0.001437 0.652196 0.005048
2.307 0.001375 -0.001321 0.693519 0.007124
2.407 -0.010333 0.000517 0.736476 0.018976
2.507 -0.010204 0.000638 0.762656 0.019152
2.607 -0.010152 0.000691 0.804718 0.019226
2.711 -0.010179 0.000661 0.839799 0.019266
2.807 -0.010208 0.000627 0.855507 0.019311
2.907 -0.009811 0.001110 0.902631 0.019936
3.008 -0.009968 0.000903 0.928811 0.020196
3.109 -0.010040 0.000804 0.951500 0.020318
3.207 -0.009716 0.001297 1.000369 0.020908
3.309 -0.009781 0.001194 1.028120 0.021031
3.414 -0.009808 0.001150 1.064947 0.021082
3.507 -0.009859 0.001052 1.092872 0.021193
3.610 -0.009653 0.001485 1.145232 0.021672
3.707 -0.009522 0.001781 1.171412 0.021996
3.809 -0.009720 0.001294 1.199337 0.022522
3.907 -0.009638 0.001520 1.225517 0.022762
4.010 -0.009558 0.001745 1.263914 0.023001
4.108 -0.009649 0.001440 1.304057 0.023320
4.207 -0.009570 0.001752 1.331982 0.023642
4.308 -0.001982 -0.014746 1.398374 0.041801
4.420 0.003532 -0.026816 1.443360 0.055071
4.508 0.003569 -0.026516 1.471285 0.055373
4.607 0.003525 -0.027073 1.518409 0.055931
4.713 0.003557 -0.026072 1.549825 0.056932
4.807 0.003557 -0.026321 1.574259 0.057181
4.907 0.003560 -0.026580 1.624874 0.057440
5.007 0.003511 -0.025899 1.654545 0.058124
5.123 0.003533 -0.026076 1.684215 0.058303
5.207 0.003471 -0.025680 1.725929 0.058704
5.307 0.003482 -0.025739 1.752458 0.058765
5.407 0.003454 -0.025615 1.785793 0.058892
5.507 0.013149 -0.039447 1.809508 0.075784
5.609 0.013330 -0.040142 1.847905 0.076502
5.707 0.013218 -0.039763 1.860122 0.076897
5.807 0.013136 -0.039470 1.907246 0.077201
5.907 0.013232 -0.039736 1.933426 0.077483
6.007 0.013173 -0.039587 1.968332 0.077643
6.107 0.013156 -0.039551 2.010220 0.077684
6.207 0.013051 -0.039334 2.038146 0.077924
6.307 0.013141 -0.039488 2.080034 0.078102
6.408 0.012965 -0.039192 2.106213 0.078447
