# t_sec x y yaw_rad cum_dist_m
0.102 0.001562 -0.001562 0.000000 0.000000
0.203 0.001562 -0.001562 0.000000 0.000000
0.302 0.001562 -0.001562 0.000000 0.000000
0.401 -0.000000 -0.001562 -0.000000 0.001562
0.501 -0.000221 -0.001563 0.008727 0.001784
0.601 -0.000181 -0.001559 0.041888 0.001824
0.701 0.000038 -0.001547 0.066672 0.002043
0.801 -0.000342 -0.001580 0.092852 0.002424
0.901 -0.000404 -0.001591 0.136310 0.002487
1.001 -0.000602 -0.001619 0.165981 0.002687
1.101 -0.000506 -0.001599 0.202633 0.002786
1.201 -0.000584 -0.001619 0.237714 0.002866
1.301 -0.001109 -0.001754 0.261974 0.003409
1.401 -0.000822 -0.001667 0.298626 0.003709
1.503 -0.000667 -0.001621 0.337023 0.003871
1.601 -0.000857 -0.001688 0.366694 0.004072
1.702 -0.001063 -0.001773 0.394619 0.004295
1.801 -0.001426 -0.001942 0.441743 0.004695
1.902 -0.001390 -0.001924 0.467923 0.004735
2.003 -0.001368 -0.001916 0.504575 0.004758
2.101 -0.001460 -0.001956 0.546463 0.004858
2.201 -0.001204 -0.001798 0.562345 0.005160
2.301 -0.001634 -0.002086 0.600742 0.005678
2.402 -0.001667 -0.002109 0.632158 0.005718
2.501 -0.018117 -0.014672 0.689859 0.026416
2.601 -0.018180 -0.014725 0.723020 0.026499
2.702 -0.018260 -0.014806 0.756181 0.026613
2.801 -0.018347 -0.014889 0.784281 0.026732
2.901 -0.018319 -0.014859 0.817442 0.026773
3.001 -0.018012 -0.014522 0.847113 0.027228
3.101 -0.018502 -0.015100 0.878529 0.027985
3.201 -0.018617 -0.015240 0.915181 0.028167
3.304 -0.018664 -0.015310 0.953578 0.028251
3.401 -0.018436 -0.014978 0.983249 0.028654
3.502 -0.018749 -0.015464 1.007858 0.029233
3.601 -0.018622 -0.015240 1.058472 0.029490
3.701 -0.018600 -0.015202 1.083081 0.029534
3.801 -0.018646 -0.015293 1.107516 0.029636
3.902 -0.018783 -0.015582 1.156385 0.029956
4.010 -0.018801 -0.015621 1.184311 0.029999
4.112 -0.018638 -0.015192 1.227944 0.030459
4.201 -0.017286 -0.016088 1.268510 0.032080
4.301 -0.015679 -0.016127 1.303760 0.033687
4.402 -0.015587 -0.015778 1.343902 0.034049
4.501 -0.015680 -0.016211 1.378809 0.034492
4.601 -0.015729 -0.016486 1.406734 0.034772
4.702 -0.015735 -0.016528 1.446877 0.034814
4.801 -0.015707 -0.016264 1.476547 0.035079
4.902 -0.015741 -0.016703 1.506218 0.035520
5.001 -0.015745 -0.016670 1.548106 0.035553
5.101 -0.015742 -0.016570 1.576031 0.035654
5.201 -0.015732 -0.016787 1.614428 0.035872
5.302 -0.015706 -0.017228 1.649335 0.036314
5.405 -0.015737 -0.016909 1.684241 0.036634
5.501 -0.015713 -0.017104 1.713912 0.036830
5.601 -0.015676 -0.017325 1.733285 0.037055
5.702 -0.018069 -0.025058 1.785694 0.045150
5.801 -0.019810 -0.030045 1.815896 0.050432
5.901 -0.019712 -0.030411 1.843996 0.050811
6.002 -0.019673 -0.030526 1.894611 0.050932
6.101 -0.019588 -0.030759 1.922536 0.051181
6.201 -0.019761 -0.030321 1.960933 0.051652
6.320 -0.019496 -0.030902 2.002821 0.052290
6.402 -0.019514 -0.030867 2.023765 0.052329
6.502 -0.019797 -0.030314 2.053436 0.052950
6.601 -0.019641 -0.030596 2.079616 0.053272
6.716 -0.019604 -0.030663 2.123249 0.053349
6.801 -0.019566 -0.030715 2.158155 0.053413
6.901 -0.019340 -0.031046 2.184335 0.053814
7.001 -0.019483 -0.030856 2.222733 0.054052
7.101 -0.019193 -0.031219 2.259384 0.054517
7.201 -0.019260 -0.031140 2.289055 0.054621
7.301 -0.019170 -0.031239 2.308254 0.054755
7.402 -0.015832 -0.034831 2.360002 0.059658
7.501 -0.013598 -0.037260 2.402037 0.062958
7.601 -0.013280 -0.037535 2.435199 0.063379
7.701 -0.013341 -0.037484 2.473596 0.063459
7.801 -0.013420 -0.037422 2.498030 0.063559
7.901 -0.013388 -0.037445 2.541664 0.063599
8.001 -0.013346 -0.037472 2.573080 0.063649
8.101 -0.013093 -0.037630 2.597514 0.063947
8.201 -0.013370 -0.037473 2.646383 0.064266
8.301 -0.012869 -0.037729 2.679545 0.064828
8.401 -0.012835 -0.037746 2.707470 0.064867
8.501 -0.012992 -0.037676 2.731905 0.065039
8.601 -0.012773 -0.037768 2.780774 0.065277
8.702 -0.012868 -0.037734 2.806954 0.065378
8.801 -0.012559 -0.037835 2.836450 0.065703
8.901 -0.012943 -0.037726 2.876767 0.066103
9.001 -0.019644 -0.049513 2.920690 0.079661
9.101 -0.023897 -0.057431 2.953170 0.088649
9.201 -0.024333 -0.057354 2.980921 0.089092
9.301 -0.024016 -0.057401 3.019493 0.089413
9.401 -0.024075 -0.057395 3.050909 0.089473
9.501 -0.023776 -0.057418 3.078834 0.089773
9.602 -0.023775 -0.057417 3.108679 0.089774
9.701 -0.023797 -0.057414 -3.129128 0.089796
9.801 -0.023411 -0.057405 -3.099283 0.090182
