# t_sec x y yaw_rad cum_dist_m
0.130 0.000019 -0.000491 0.004684 0.000000
0.225 0.000019 -0.000491 0.004684 0.000000
0.325 0.000019 -0.000491 0.004684 0.000000
0.425 -0.000181 -0.000495 0.032609 0.000200
0.531 0.000058 -0.000484 0.057218 0.000439
0.632 -0.000060 -0.000493 0.095615 0.000558
0.725 -0.000322 -0.000525 0.128777 0.000822
0.827 -0.000243 -0.000512 0.156702 0.000902
0.928 -0.000017 -0.000476 0.200335 0.001131
1.026 -0.000504 -0.000586 0.236987 0.001631
1.126 -0.000292 -0.000531 0.263167 0.001850
1.229 -0.000216 -0.000510 0.306800 0.001930
1.325 -0.000404 -0.000572 0.333155 0.002128
1.426 -0.000688 -0.000677 0.369807 0.002431
1.526 -0.000484 -0.000591 0.404713 0.002653
1.625 -0.000503 -0.000601 0.434384 0.002674
1.725 -0.000792 -0.000738 0.476272 0.002995
1.825 -0.000775 -0.000728 0.511178 0.003015
1.926 -0.000620 -0.000635 0.544165 0.003196
2.025 -0.000627 -0.000643 0.570345 0.003206
2.127 -0.001142 -0.000986 0.613978 0.003825
2.225 -0.000771 -0.000713 0.640333 0.004286
2.327 -0.000640 -0.000615 0.673319 0.004449
2.426 0.023124 0.034195 0.702183 0.046597
2.526 0.023407 0.034446 0.733599 0.046976
2.625 0.023573 0.034597 0.761525 0.047200
2.725 0.023158 0.034187 0.805158 0.047783
2.826 0.023117 0.034145 0.838319 0.047841
2.925 0.023223 0.034266 0.866244 0.048002
3.026 0.023148 0.034172 0.909878 0.048123
3.125 0.023112 0.034125 0.936058 0.048182
3.225 0.023033 0.034013 0.967474 0.048319
3.325 0.022912 0.033831 1.016343 0.048538
3.425 0.022882 0.033778 1.044268 0.048599
3.525 0.022784 0.033605 1.085981 0.048798
3.625 0.023063 0.034161 1.116001 0.049420
3.725 0.022971 0.033959 1.145672 0.049643
3.826 0.022811 0.033588 1.185814 0.050047
3.925 0.072230 0.024093 1.225778 0.100369
4.025 0.072146 0.023846 1.267666 0.100630
4.125 0.072151 0.023867 1.300828 0.100652
4.225 0.072169 0.023941 1.333814 0.100729
4.326 0.072111 0.023672 1.367150 0.101004
4.425 0.072071 0.023455 1.400311 0.101225
4.525 0.072112 0.023731 1.429982 0.101504
4.625 0.072100 0.023618 1.473615 0.101618
4.725 0.072076 0.023340 1.496304 0.101897
4.825 0.072065 0.023103 1.543428 0.102134
4.925 0.072066 0.023140 1.569608 0.102170
5.025 0.072062 0.023319 1.599279 0.102349
5.125 0.072078 0.023018 1.644657 0.102650
5.229 0.072082 0.022963 1.676073 0.102706
5.325 0.072070 0.023056 1.705744 0.102800
5.428 0.060553 0.052017 1.724431 0.133967
5.533 0.060557 0.051996 1.750611 0.133988
