# t_sec x y yaw_rad cum_dist_m
0.102 0.001566 0.000742 0.007812 0.000000
0.204 0.001566 0.000742 0.007812 0.000000
0.302 0.001566 0.000742 0.007812 0.000000
0.402 0.001332 0.000738 0.028931 0.000234
0.503 0.001411 0.000743 0.062092 0.000313
0.602 0.001253 0.000732 0.082862 0.000472
0.702 0.001473 0.000754 0.116197 0.000692
0.801 0.001459 0.000744 0.159831 0.000710
0.901 0.001514 0.000756 0.186011 0.000767
1.002 0.001947 0.000843 0.224408 0.001208
1.101 0.001787 0.000809 0.271532 0.001371
1.201 0.001961 0.000860 0.292301 0.001552
1.303 0.002019 0.000878 0.322146 0.001613
1.401 0.002150 0.000926 0.374506 0.001752
1.501 0.002075 0.000894 0.400686 0.001834
1.601 0.002436 0.001065 0.447810 0.002234
1.715 0.002572 0.001131 0.456537 0.002385
1.803 0.002098 0.000878 0.507151 0.002922
1.901 0.002582 0.001162 0.549039 0.003483
2.007 -0.019064 -0.001468 0.614034 0.025289
2.102 -0.019241 -0.001516 0.640435 0.025473
2.203 -0.019045 -0.001372 0.684068 0.025716
2.304 -0.019190 -0.001491 0.711993 0.025903
2.402 -0.018950 -0.001277 0.738173 0.026224
2.510 -0.019066 -0.001391 0.790533 0.026387
2.608 -0.018648 -0.000957 0.825440 0.026989
2.702 -0.018607 -0.000912 0.841148 0.027050
2.804 -0.018879 -0.001225 0.883035 0.027464
2.902 -0.018700 -0.000992 0.914451 0.027758
3.001 -0.018738 -0.001047 0.938886 0.027825
3.102 -0.018903 -0.001271 0.937141 0.028102
3.202 -0.019115 -0.001564 0.951103 0.028464
3.302 -0.018942 -0.001317 0.965066 0.028765
3.402 -0.019226 -0.001764 1.010444 0.029294
3.503 -0.019325 -0.001924 1.031388 0.029482
3.601 -0.019234 -0.001770 1.061059 0.029661
3.703 -0.019319 -0.001939 1.108183 0.029851
3.801 -0.018923 -0.002015 1.134535 0.030254
3.902 -0.004338 -0.006394 1.165595 0.045482
4.003 -0.004363 -0.006450 1.216210 0.045543
4.101 -0.004502 -0.006844 1.237154 0.045962
4.202 -0.004516 -0.006881 1.263334 0.046001
4.301 -0.004487 -0.006771 1.309061 0.046115
4.401 -0.004521 -0.006909 1.340303 0.046257
4.502 -0.004623 -0.007378 1.366483 0.046737
4.602 -0.004613 -0.007333 1.415352 0.046783
4.701 -0.004621 -0.007390 1.439961 0.046841
4.806 -0.004645 -0.007603 1.486910 0.047056
4.902 -0.004646 -0.007624 1.514836 0.047076
5.004 -0.004653 -0.007784 1.532289 0.047236
5.102 -0.004659 -0.007703 1.584649 0.047317
5.201 -0.004652 -0.007944 1.610829 0.047558
5.302 -0.004630 -0.008329 1.645735 0.047943
5.402 -0.009782 -0.010974 1.690723 0.053735
5.501 -0.016138 -0.014486 1.731656 0.060997
5.601 -0.016117 -0.014603 1.752775 0.061117
5.702 -0.016082 -0.014801 1.798328 0.061317
5.802 -0.016053 -0.014917 1.827824 0.061437
5.902 -0.015962 -0.015243 1.864476 0.061776
6.008 -0.015890 -0.015448 1.902873 0.061993
6.106 -0.015911 -0.015390 1.925562 0.062054
6.202 -0.015993 -0.015186 1.969196 0.062274
6.310 -0.015694 -0.015846 2.014574 0.062998
6.402 -0.015672 -0.015897 2.037263 0.063054
6.502 -0.015710 -0.015820 2.065189 0.063140
6.601 -0.015513 -0.016158 2.107077 0.063532
6.701 -0.015523 -0.016143 2.136747 0.063550
6.801 -0.015559 -0.016093 2.169908 0.063611
6.912 -0.017414 -0.001323 2.219056 0.078498
7.001 -0.016999 -0.001844 2.252217 0.079165
7.101 -0.017135 -0.001688 2.283633 0.079372
7.201 -0.017228 -0.001582 2.315049 0.079513
7.301 -0.016731 -0.002101 2.358682 0.080231
7.402 -0.016832 -0.002005 2.383117 0.080371
7.504 -0.016683 -0.002139 2.418023 0.080571
7.602 -0.016806 -0.002038 2.456420 0.080730
7.704 -0.016491 -0.002284 2.486091 0.081129
7.801 -0.016186 -0.002512 2.510526 0.081510
7.901 -0.016215 -0.002493 2.550668 0.081545
8.001 -0.015945 -0.002663 2.587320 0.081864
8.102 -0.015707 -0.002805 2.618736 0.082141
8.201 -0.015853 -0.002726 2.664289 0.082307
8.301 -0.015601 -0.002852 2.693960 0.082589
8.402 -0.015547 -0.002875 2.718569 0.082647
8.501 -0.030308 0.027990 2.741873 0.116861
8.601 -0.030271 0.027973 2.773289 0.116902
8.702 -0.030325 0.027992 2.811686 0.116960
8.801 -0.029921 0.027863 2.855320 0.117384
8.902 -0.029612 0.027777 2.883245 0.117704
9.001 -0.029787 0.027821 2.909425 0.117885
9.101 -0.029552 0.027771 2.947822 0.118125
9.201 -0.029413 0.027745 2.980983 0.118266
9.301 -0.029222 0.027716 3.019381 0.118460
9.403 -0.029679 0.027771 3.019381 0.118920
9.525 -0.029836 0.027793 3.043815 0.119078
9.603 -0.029718 0.027783 3.071740 0.119197
9.712 -0.029755 0.027780 3.106647 0.119235
9.802 -0.030003 0.027786 -3.134650 0.119483
9.902 -0.029644 0.027797 -3.104980 0.119842
10.003 -0.030069 0.027773 -3.077054 0.120267
10.101 -0.030110 0.027771 -3.050875 0.120308
10.201 -0.034414 0.023542 -3.014508 0.126342
10.302 -0.061430 -0.002737 -3.006730 0.164031
10.408 -0.061289 -0.002716 -2.987356 0.164173
10.502 -0.061618 -0.002775 -2.945469 0.164507
10.602 -0.061052 -0.002648 -2.905326 0.165087
10.702 -0.061438 -0.002748 -2.884382 0.165486
10.801 -0.061542 -0.002776 -2.842494 0.165594
10.901 -0.061522 -0.002768 -2.798861 0.165616
11.002 -0.061277 -0.002676 -2.776172 0.165878
11.104 -0.061182 -0.002637 -2.739520 0.165980
11.202 -0.061201 -0.002649 -2.695887 0.166003
11.301 -0.061346 -0.002720 -2.673197 0.166164
11.402 -0.061327 -0.002710 -2.648763 0.166186
11.507 -0.061362 -0.002730 -2.585931 0.166226
11.601 -0.061246 -0.002656 -2.571968 0.166363
11.702 0.007695 -0.004924 -2.490941 0.235341
11.822 0.007580 -0.005010 -2.457780 0.235485
11.901 0.007823 -0.004805 -2.435091 0.235802
12.003 0.007690 -0.004930 -2.396693 0.235985
12.106 0.007432 -0.005173 -2.367023 0.236339
12.201 0.007957 -0.004633 -2.321644 0.237091
12.302 0.007649 -0.004969 -2.295464 0.237547
12.401 0.007970 -0.004594 -2.274520 0.238041
12.502 0.007541 -0.005144 -2.230887 0.238738
12.601 0.007441 -0.005272 -2.206453 0.238900
12.710 0.008010 -0.004478 -2.164565 0.239876
12.802 0.007380 -0.005448 -2.136639 0.241032
12.904 0.007658 -0.004987 -2.108714 0.241570
13.001 0.007978 -0.004429 -2.080789 0.242213
13.102 0.007608 -0.005121 -2.031920 0.242997
13.201 0.007658 -0.005013 -2.002249 0.243116
13.306 0.007759 -0.004790 -1.977814 0.243360
13.402 0.007781 -0.004735 -1.935927 0.243420
13.501 0.020822 0.015488 -1.842955 0.267483
13.603 0.020804 0.015415 -1.830737 0.267558
13.702 0.020646 0.014784 -1.801067 0.268209
13.801 0.020788 0.015464 -1.757433 0.268904
13.902 0.020756 0.015268 -1.734744 0.269102
14.002 0.020751 0.015230 -1.689366 0.269141
14.101 0.020781 0.015531 -1.659695 0.269444
14.203 0.020776 0.015487 -1.633515 0.269488
14.301 0.020787 0.015686 -1.609080 0.269687
14.402 0.020783 0.014943 -1.563702 0.270430
14.502 0.020761 0.015629 -1.534031 0.271116
14.601 0.020751 0.015865 -1.500870 0.271353
14.703 0.020816 0.015144 -1.458982 0.272077
14.804 0.020790 0.015343 -1.434548 0.272277
14.910 0.021042 0.016703 -1.370683 0.273660
15.002 0.021422 0.017800 -1.279369 0.274821
15.102 0.021415 0.017818 -1.256680 0.274840
15.201 0.021581 0.017342 -1.232245 0.275344
15.301 0.021437 0.017713 -1.183376 0.275742
15.402 0.021438 0.017714 -1.155450 0.275743
15.501 0.021448 0.017673 -1.111817 0.275785
15.601 0.021169 0.018215 -1.083892 0.276394
15.702 0.021412 0.017776 -1.057712 0.276895
15.801 0.021319 0.017931 -1.015824 0.277077
15.906 0.021362 0.017865 -0.986154 0.277156
16.001 0.021333 0.017903 -0.954738 0.277204
16.101 0.021132 0.018176 -0.917911 0.277543
16.203 0.021601 0.017585 -0.889986 0.278298
16.302 0.021547 0.017646 -0.863806 0.278380
16.401 0.021165 0.018083 -0.828725 0.278961
16.502 0.021329 0.017908 -0.796960 0.279201
16.602 0.021386 0.017854 -0.776016 0.279279
16.702 0.019381 0.005093 -0.721079 0.292197
16.804 0.019071 0.005358 -0.696644 0.292605
16.902 0.019664 0.004886 -0.654756 0.293363
17.002 0.019903 0.004702 -0.621595 0.293664
17.102 0.019391 0.005057 -0.593670 0.294288
17.201 0.020211 0.004530 -0.551782 0.295263
17.305 0.019813 0.004760 -0.518621 0.295722
17.403 0.019585 0.004887 -0.490695 0.295983
17.504 0.019621 0.004863 -0.450553 0.296027
17.607 0.019494 0.004923 -0.415646 0.296167
17.701 0.020068 0.004685 -0.380740 0.296789
17.801 0.019616 0.004855 -0.352814 0.297272
17.901 0.019210 0.004996 -0.328380 0.297702
18.003 0.020072 0.004729 -0.281256 0.298604
18.101 0.010234 -0.005174 -0.242179 0.312562
18.201 0.009700 -0.006154 -0.199270 0.313678
18.301 0.009937 -0.006200 -0.162618 0.313920
18.404 0.009701 -0.006164 -0.139929 0.314158
18.506 0.009601 -0.006153 -0.110259 0.314259
18.601 0.009520 -0.006146 -0.063135 0.314339
18.701 0.009759 -0.006157 -0.038700 0.314578
18.802 0.009943 -0.006162 -0.009030 0.314763
18.902 0.009681 -0.006166 0.041585 0.315025
19.003 0.009841 -0.006159 0.067765 0.315185
19.102 0.009733 -0.006167 0.104766 0.315294
19.203 0.009749 -0.006164 0.120474 0.315311
19.302 0.009628 -0.006179 0.120474 0.315433
19.405 0.009628 -0.006179 0.120474 0.315433
19.504 0.009628 -0.006179 0.120474 0.315433
19.603 0.009628 -0.006179 0.120474 0.315433
