# t_sec x y yaw_rad cum_dist_m
0.110 0.004712 -0.004111 0.009386 0.000000
0.204 0.004712 -0.004111 0.009386 0.000000
0.305 0.004712 -0.004111 0.009386 0.000000
0.403 0.004712 -0.004111 0.009386 0.000000
0.503 0.004712 -0.004111 0.009386 0.000000
0.603 0.004712 -0.004111 0.009386 0.000000
0.703 0.004750 -0.004111 0.018113 0.000038
0.804 0.004429 -0.004120 0.035915 0.000358
0.905 0.005109 -0.004084 0.057034 0.001039
1.003 0.005113 -0.004087 0.090369 0.001043
1.103 0.004674 -0.004132 0.120040 0.001485
1.203 0.004890 -0.004098 0.163673 0.001703
1.303 0.004480 -0.004180 0.198580 0.002122
1.403 0.004377 -0.004198 0.228076 0.002225
1.503 0.004769 -0.004100 0.266648 0.002629
1.603 0.004231 -0.004259 0.303300 0.003189
1.704 0.004536 -0.004157 0.331050 0.003511
1.803 0.004544 -0.004165 0.371367 0.003523
1.904 0.004262 -0.004273 0.406274 0.003824
2.003 0.005029 -0.003925 0.437690 0.004666
2.103 0.004849 -0.004014 0.465615 0.004867
2.203 0.004794 -0.004042 0.505583 0.004929
2.303 0.004919 -0.003977 0.547646 0.005070
2.405 0.004766 -0.004072 0.584123 0.005251
2.503 0.004965 -0.003936 0.613968 0.005492
2.603 0.004848 -0.004020 0.631422 0.005636
2.703 0.004767 -0.004080 0.689017 0.005737
2.803 -0.018027 -0.010721 0.754467 0.029478
2.904 -0.018400 -0.011086 0.796355 0.030000
3.003 -0.018269 -0.010944 0.822535 0.030193
3.103 -0.018093 -0.010751 0.848715 0.030454
3.203 -0.018326 -0.011030 0.887112 0.030818
3.304 -0.018255 -0.010936 0.909801 0.030936
3.404 -0.017869 -0.010419 0.944708 0.031581
3.503 -0.018290 -0.011032 0.977869 0.032324
3.603 -0.018289 -0.011027 1.009285 0.032330
3.708 -0.018184 -0.010855 1.040701 0.032530
3.804 -0.018165 -0.010824 1.077353 0.032567
3.905 -0.018232 -0.010950 1.112260 0.032709
4.004 -0.018215 -0.010915 1.131458 0.032748
4.104 -0.018189 -0.010854 1.168110 0.032813
4.204 -0.018161 -0.010787 1.197781 0.032886
4.303 -0.005550 -0.013630 1.249995 0.045815
4.403 0.002989 -0.015485 1.287813 0.054552
4.503 0.003029 -0.015330 1.328130 0.054712
4.603 0.002948 -0.015691 1.357801 0.055082
4.703 0.002972 -0.015550 1.396373 0.055226
4.803 0.002985 -0.015474 1.431279 0.055303
4.903 0.002931 -0.015927 1.462695 0.055759
5.003 0.002943 -0.015757 1.495856 0.055929
5.103 0.002961 -0.015534 1.522211 0.056154
5.203 0.002961 -0.015419 1.565844 0.056268
5.304 0.002958 -0.015437 1.597260 0.056286
5.403 0.002984 -0.016067 1.618553 0.056916
5.503 0.002955 -0.015668 1.651714 0.057316
5.603 0.002948 -0.015525 1.695347 0.057459
5.703 0.002891 -0.015147 1.723273 0.057841
5.803 0.002903 -0.015210 1.751198 0.057906
5.903 -0.013285 -0.023136 1.807991 0.075930
6.003 -0.013280 -0.023157 1.820209 0.075952
6.103 -0.013259 -0.023222 1.867332 0.076020
6.203 -0.013304 -0.023121 1.909220 0.076131
6.303 -0.013469 -0.022668 1.935400 0.076613
6.403 -0.013336 -0.023002 1.951108 0.076972
6.503 -0.013324 -0.023087 2.010449 0.077058
6.604 -0.013489 -0.022744 2.020921 0.077438
6.704 -0.013148 -0.023401 2.066300 0.078178
