# t_sec x y yaw_rad cum_dist_m
0.103 0.001565 0.000906 0.006250 0.000000
0.202 0.001565 0.000906 0.006250 0.000000
0.303 0.001565 0.000906 0.006250 0.000000
0.402 0.001444 0.000905 0.007995 0.000120
0.502 0.000731 0.000895 0.024227 0.000833
0.602 0.000731 0.000894 0.052327 0.000835
0.705 0.000777 0.000898 0.076936 0.000880
0.802 0.000895 0.000908 0.118824 0.000999
0.902 0.000717 0.000884 0.143433 0.001179
1.005 0.000892 0.000915 0.173103 0.001356
1.102 0.000875 0.000905 0.216737 0.001377
1.202 -0.012925 0.025611 0.276039 0.029675
1.302 -0.016248 0.032248 0.305194 0.037098
1.402 -0.016137 0.032290 0.348828 0.037217
1.502 -0.015590 0.032498 0.383734 0.037802
1.602 -0.015961 0.032341 0.408169 0.038204
1.702 -0.016022 0.032315 0.413405 0.038271
1.802 -0.016172 0.032249 0.420386 0.038435
1.902 -0.015880 0.032383 0.446566 0.038757
2.002 -0.016325 0.032156 0.483218 0.039256
2.102 -0.016275 0.032187 0.519870 0.039314
2.202 -0.016169 0.032248 0.544304 0.039437
2.302 -0.016151 0.032259 0.582702 0.039458
2.402 -0.016515 0.032010 0.619354 0.039900
2.502 -0.016590 0.031953 0.649024 0.039994
2.602 -0.016558 0.031980 0.685676 0.040035
2.702 -0.016435 0.032080 0.727564 0.040194
2.802 -0.016832 0.031715 0.757235 0.040733
2.902 -0.016917 0.031634 0.790396 0.040851
3.002 -0.016737 0.031817 0.832284 0.041107
3.102 -0.011453 0.010115 0.900690 0.063444
3.202 -0.011577 0.009955 0.925299 0.063645
3.302 -0.011376 0.010247 0.977659 0.064000
3.402 -0.011362 0.010266 1.005410 0.064023
3.502 -0.011487 0.010062 1.033335 0.064263
3.602 -0.011448 0.010134 1.079063 0.064345
3.702 -0.011418 0.010190 1.105243 0.064408
3.802 -0.011618 0.009777 1.148702 0.064866
3.902 -0.011649 0.009704 1.178372 0.064946
4.002 -0.011626 0.009761 1.199316 0.065007
4.102 -0.011635 0.009716 1.253421 0.065052
4.208 -0.011725 0.009428 1.279601 0.065354
4.302 -0.011703 0.009506 1.304210 0.065436
4.402 -0.011706 0.009461 1.358316 0.065481
4.502 -0.013860 0.003110 1.385332 0.072187
4.602 -0.016430 -0.004504 1.423152 0.080224
4.702 -0.016443 -0.004605 1.463120 0.080325
4.802 -0.016464 -0.004826 1.489300 0.080547
4.902 -0.016464 -0.004844 1.520716 0.080565
5.002 -0.016481 -0.005343 1.560859 0.081064
5.102 -0.016482 -0.005001 1.590529 0.081406
5.202 -0.016480 -0.005058 1.621945 0.081463
