# t_sec x y yaw_rad cum_dist_m
0.107 0.000000 -0.000164 0.001562 0.000000
0.208 0.000000 -0.000164 0.001562 0.000000
0.306 0.000000 -0.000164 0.001562 0.000000
0.406 0.000000 -0.000164 0.001562 0.000000
0.506 0.000000 -0.000164 0.001562 0.000000
0.608 0.000000 -0.000164 0.001562 0.000000
0.706 0.000000 -0.000164 0.001562 0.000000
0.806 0.000000 -0.000164 0.001562 0.000000
0.906 0.000000 -0.000164 0.001562 0.000000
1.006 0.000000 -0.000164 0.001562 0.000000
1.106 0.000000 -0.000164 0.001562 0.000000
1.206 0.000000 -0.000164 0.001562 0.000000
1.306 0.000000 -0.000164 0.001562 0.000000
1.407 0.000000 -0.000164 0.001562 0.000000
1.506 -0.000341 -0.000168 0.015525 0.000342
1.606 -0.000522 -0.000171 0.038214 0.000522
1.707 -0.000521 -0.000171 0.066140 0.000523
1.806 -0.000434 -0.000167 0.101046 0.000610
1.906 -0.000356 -0.000153 0.139444 0.000690
2.006 -0.000194 -0.000128 0.169114 0.000853
2.106 -0.000494 -0.000185 0.198785 0.001159
2.206 -0.015940 0.005528 0.287234 0.017628
2.306 -0.015854 0.005552 0.315333 0.017717
2.407 -0.016140 0.005454 0.343084 0.018019
2.506 -0.015805 0.005594 0.393873 0.018383
2.606 -0.015896 0.005554 0.421624 0.018482
2.706 -0.016133 0.005442 0.447804 0.018744
2.806 -0.015776 0.005622 0.493357 0.019143
2.906 -0.015810 0.005603 0.519537 0.019182
3.006 -0.015913 0.005541 0.547288 0.019303
3.106 -0.015828 0.005596 0.590921 0.019404
3.207 -0.015879 0.005561 0.620766 0.019465
3.306 -0.016007 0.005467 0.650262 0.019624
3.406 -0.016179 0.005327 0.699306 0.019845
3.506 -0.016217 0.005297 0.723566 0.019894
3.616 -0.023085 0.013911 0.757747 0.030910
3.706 -0.039539 0.031612 0.788790 0.055078
3.806 -0.039289 0.031872 0.809734 0.055438
3.907 -0.039207 0.031960 0.835914 0.055559
4.006 -0.039259 0.031897 0.883387 0.055640
4.106 -0.039348 0.031783 0.911312 0.055785
4.206 -0.039312 0.031829 0.935747 0.055844
4.306 -0.039151 0.032060 0.979380 0.056126
4.406 -0.039313 0.031809 1.003814 0.056425
4.506 -0.039440 0.031608 1.033485 0.056663
4.607 -0.038898 0.032564 1.077118 0.057762
4.706 -0.039319 0.031748 1.103298 0.058680
4.806 -0.039313 0.031770 1.132969 0.058702
4.906 -0.039145 0.032132 1.176602 0.059102
5.007 -0.039287 0.031778 1.208018 0.059484
5.107 -0.039126 0.032216 1.228962 0.059950
5.207 -0.032878 0.028367 1.282598 0.067288
5.306 -0.018858 0.020918 1.319245 0.083165
5.406 -0.018841 0.020972 1.345425 0.083222
5.507 -0.019033 0.020052 1.378586 0.084161
5.606 -0.018953 0.020551 1.422219 0.084667
5.706 -0.018958 0.020509 1.444909 0.084709
5.806 -0.018967 0.020492 1.490287 0.084729
5.906 -0.018968 0.020468 1.518213 0.084753
6.006 -0.018959 0.020712 1.547883 0.084998
6.106 -0.018958 0.020683 1.579299 0.085027
6.206 -0.018936 0.019980 1.621187 0.085731
6.306 -0.018963 0.020323 1.650858 0.086075
6.406 -0.018980 0.020524 1.694665 0.086276
6.506 -0.018937 0.020225 1.720671 0.086578
6.606 -0.018942 0.020247 1.750341 0.086600
6.706 -0.019029 0.020678 1.799211 0.087039
6.806 -0.019010 0.020601 1.827136 0.087118
6.906 -0.018873 0.020112 1.853490 0.087626
7.006 -0.013964 -0.024023 1.931341 0.132034
7.106 -0.013906 -0.024164 1.955775 0.132186
