# t_sec x y yaw_rad cum_dist_m
0.101 0.001565 0.000906 0.006250 0.000000
0.201 0.001565 0.000906 0.006250 0.000000
0.301 0.001565 0.000906 0.006250 0.000000
0.401 0.001565 0.000906 0.006250 0.000000
0.501 0.001565 0.000906 0.006250 0.000000
0.601 0.001704 0.000910 0.027194 0.000139
0.701 0.001242 0.000893 0.048138 0.000601
0.801 0.001340 0.000901 0.079554 0.000699
0.901 0.001241 0.000891 0.105734 0.000799
1.001 0.001141 0.000879 0.145876 0.000900
1.101 0.000964 0.000849 0.186019 0.001080
1.201 0.000961 0.000849 0.206963 0.001082
1.302 -0.008831 0.018723 0.278647 0.021463
1.402 -0.012952 0.023828 0.330841 0.028023
1.501 -0.012670 0.023929 0.348469 0.028323
1.601 -0.012407 0.024028 0.390357 0.028604
1.702 -0.012627 0.023930 0.435736 0.028845
1.804 -0.012722 0.023885 0.456680 0.028951
1.901 -0.012614 0.023938 0.498567 0.029071
2.002 -0.012684 0.023897 0.538885 0.029152
2.101 -0.012970 0.023720 0.560003 0.029487
2.201 -0.013150 0.023607 0.606952 0.029700
2.302 -0.013085 0.023654 0.633132 0.029780
2.402 -0.012990 0.023726 0.664548 0.029899
2.502 -0.012977 0.023741 0.704865 0.029919
2.602 -0.013168 0.023566 0.739772 0.030178
2.702 -0.013102 0.023633 0.779740 0.030272
2.802 -0.027301 0.016425 0.804963 0.046196
2.902 -0.031294 0.014233 0.828411 0.050751
3.001 -0.031034 0.014539 0.877281 0.051152
3.102 -0.031153 0.014388 0.903635 0.051344
3.201 -0.031278 0.014228 0.936622 0.051547
3.301 -0.031241 0.014276 0.980255 0.051607
3.401 -0.031221 0.014310 1.009926 0.051647
3.502 -0.031210 0.014327 1.036106 0.051668
3.602 -0.031412 0.013964 1.072757 0.052083
3.701 -0.031262 0.014267 1.111155 0.052422
3.801 -0.031227 0.014339 1.140825 0.052502
3.901 -0.031509 0.013691 1.186204 0.053208
4.001 -0.031381 0.014026 1.215874 0.053567
4.101 -0.031441 0.013850 1.245545 0.053753
4.201 -0.031610 0.013327 1.282197 0.054303
4.302 -0.010889 0.006499 1.339098 0.076120
4.402 -0.010945 0.006245 1.354806 0.076381
4.502 -0.011086 0.005561 1.382731 0.077079
4.602 -0.011041 0.005843 1.435091 0.077366
4.701 -0.011091 0.005449 1.456035 0.077763
4.802 -0.011073 0.005645 1.490941 0.077960
4.901 -0.011084 0.005405 1.532829 0.078200
5.001 -0.011088 0.005245 1.562500 0.078360
5.101 -0.011078 0.005347 1.607878 0.078462
5.202 -0.011060 0.004987 1.637549 0.078822
5.301 -0.011105 0.005504 1.665474 0.079342
5.401 -0.011078 0.005306 1.717834 0.079541
5.501 -0.011045 0.005108 1.742443 0.079743
5.602 -0.011061 0.005186 1.775605 0.079823
5.702 -0.011060 0.005189 1.805101 0.079826
5.802 -0.011040 0.005112 1.846989 0.079905
5.902 -0.022530 -0.014129 1.876138 0.102316
6.001 -0.024502 -0.016956 1.904953 0.105763
6.101 -0.024578 -0.016749 1.945270 0.105984
6.201 -0.024304 -0.017406 1.986984 0.106695
6.302 -0.024371 -0.017260 2.002692 0.106856
6.401 -0.024473 -0.017036 2.051561 0.107102
6.501 -0.024302 -0.017360 2.081232 0.107468
6.604 -0.024251 -0.017448 2.107412 0.107569
6.702 -0.024351 -0.017287 2.165007 0.107758
6.801 -0.024420 -0.017183 2.185951 0.107883
6.901 -0.024169 -0.017519 2.224349 0.108303
7.002 -0.024247 -0.017428 2.264491 0.108423
7.101 -0.024338 -0.017321 2.294162 0.108563
7.202 -0.024159 -0.017510 2.329068 0.108823
7.308 -0.030836 -0.001008 2.366133 0.126626
7.412 -0.033594 0.006115 2.380873 0.134264
7.501 -0.033522 0.006047 2.405482 0.134363
7.602 -0.033384 0.005929 2.457842 0.134544
7.701 -0.033012 0.005638 2.487338 0.135017
7.801 -0.033270 0.005832 2.510027 0.135339
7.902 -0.033114 0.005736 2.558896 0.135522
8.002 -0.032660 0.005447 2.590312 0.136060
8.101 -0.033002 0.005647 2.621728 0.136457
8.201 -0.033001 0.005646 2.667107 0.136458
8.301 -0.032930 0.005611 2.691541 0.136537
8.401 -0.032764 0.005536 2.721212 0.136720
8.501 -0.032748 0.005526 2.766591 0.136739
8.602 -0.032558 0.005455 2.798006 0.136941
8.702 -0.032386 0.005397 2.825932 0.137123
8.802 -0.032651 0.005472 2.878292 0.137398
8.901 -0.049481 0.011996 2.860728 0.155448
9.001 -0.048881 0.011829 2.886908 0.156071
9.102 -0.049643 0.012014 2.935777 0.156855
9.202 -0.049387 0.011965 2.963702 0.157115
9.302 -0.049505 0.011986 3.007336 0.157236
9.402 -0.049143 0.011945 3.042242 0.157600
9.501 -0.048724 0.011909 3.070168 0.158021
9.601 -0.049490 0.011947 3.113801 0.158788
9.703 -0.049049 0.011945 -3.134478 0.159230
9.802 -0.049150 0.011942 -3.106553 0.159331
9.901 -0.049528 0.011922 -3.078802 0.159710
10.001 -0.048331 0.012034 -3.031504 0.160912
10.102 -0.048619 0.011994 -3.000088 0.161204
10.204 -0.048897 0.011952 -2.958200 0.161484
10.302 -0.011450 0.002860 -2.918760 0.200019
10.401 -0.009471 0.002307 -2.888733 0.202074
10.502 -0.009364 0.002337 -2.846845 0.202185
10.609 -0.009155 0.002406 -2.810193 0.202405
10.702 -0.009040 0.002447 -2.782268 0.202527
10.803 -0.008834 0.002530 -2.740380 0.202749
10.902 -0.009149 0.002389 -2.712454 0.203095
11.002 -0.008841 0.002540 -2.684529 0.203438
11.101 -0.008873 0.002517 -2.637405 0.203478
11.202 -0.008946 0.002477 -2.609655 0.203560
11.301 -0.008621 0.002677 -2.564102 0.203942
11.402 -0.008931 0.002464 -2.534431 0.204318
11.503 -0.008672 0.002652 -2.509822 0.204639
11.602 -0.008683 0.002637 -2.464443 0.204657
11.701 -0.008486 0.002803 -2.436518 0.204914
11.801 -0.008604 0.002696 -2.391139 0.205074
11.903 -0.005362 0.005139 -2.357118 0.209134
12.002 -0.005279 0.005225 -2.332683 0.209253
12.102 -0.005222 0.005280 -2.280323 0.209333
12.201 -0.005071 0.005465 -2.250653 0.209571
12.302 -0.005049 0.005497 -2.210510 0.209610
12.403 -0.004979 0.005594 -2.182585 0.209730
12.510 -0.005062 0.005467 -2.147678 0.209881
12.602 -0.005138 0.005345 -2.105790 0.210025
12.702 -0.004816 0.005912 -2.079610 0.210677
12.802 -0.004751 0.006030 -2.046449 0.210812
