# t_sec x y yaw_rad cum_dist_m
0.103 0.003188 -0.000820 0.007813 0.000000
0.203 0.003188 -0.000820 0.007813 0.000000
0.302 0.003188 -0.000820 0.007813 0.000000
0.402 0.003188 -0.000820 0.007813 0.000000
0.502 0.003188 -0.000820 0.007813 0.000000
0.602 0.003188 -0.000820 0.007813 0.000000
0.706 0.003188 -0.000820 0.007813 0.000000
0.802 0.003390 -0.000816 0.023695 0.000202
0.902 0.003252 -0.000820 0.037483 0.000341
1.002 0.003029 -0.000833 0.063663 0.000564
1.102 0.003329 -0.000805 0.105551 0.000865
1.202 0.003328 -0.000805 0.131731 0.000866
1.314 0.003147 -0.000833 0.157911 0.001050
1.402 0.003188 -0.000816 0.204860 0.001095
1.502 0.003563 -0.000733 0.232960 0.001479
1.602 0.002921 -0.000898 0.259140 0.002143
1.704 0.003088 -0.000834 0.311500 0.002322
1.805 0.003316 -0.000757 0.335934 0.002562
1.902 -0.013943 -0.008840 0.410394 0.021621
2.002 -0.018538 -0.010995 0.462702 0.026696
2.102 -0.018326 -0.010884 0.485391 0.026935
2.202 -0.017663 -0.010518 0.514887 0.027692
2.302 -0.018462 -0.011010 0.562360 0.028630
2.403 -0.018752 -0.011194 0.583304 0.028973
2.511 -0.018071 -0.010726 0.609484 0.029800
2.602 -0.018358 -0.010938 0.637409 0.030156
2.702 -0.018487 -0.011022 0.675806 0.030311
2.805 -0.018112 -0.010713 0.696750 0.030796
2.903 -0.018371 -0.010938 0.728166 0.031138
3.010 -0.018220 -0.010799 0.745619 0.031343
3.103 -0.018582 -0.011171 0.790998 0.031862
3.202 -0.018605 -0.011192 0.820669 0.031894
3.308 -0.018486 -0.011061 0.832886 0.032071
3.409 -0.018516 -0.011139 0.895892 0.032155
3.502 -0.016068 -0.008774 0.933455 0.035558
3.602 -0.016074 -0.008792 0.975343 0.035576
3.702 -0.016187 -0.008960 1.011995 0.035778
3.802 -0.016064 -0.008754 1.039920 0.036018
3.902 -0.016161 -0.008930 1.069590 0.036219
4.002 -0.016013 -0.008641 1.099261 0.036544
4.102 -0.016054 -0.008736 1.139404 0.036648
4.205 -0.016103 -0.008845 1.177801 0.036767
4.302 -0.016066 -0.008751 1.205726 0.036869
4.404 -0.016092 -0.008830 1.244123 0.036952
4.502 -0.016136 -0.008967 1.280775 0.037095
4.613 -0.016087 -0.008792 1.306955 0.037276
4.702 -0.016041 -0.008584 1.352159 0.037490
4.802 -0.016028 -0.008525 1.382004 0.037550
4.902 -0.016092 -0.008892 1.424067 0.037923
5.003 -0.016074 -0.008754 1.448676 0.038062
5.102 -0.016059 -0.008619 1.481837 0.038199
5.204 -0.016057 -0.008499 1.527216 0.038318
5.302 -0.002991 -0.018115 1.549180 0.054541
5.402 -0.002993 -0.018434 1.582516 0.054860
5.502 -0.003013 -0.017873 1.620913 0.055422
5.602 -0.003011 -0.017891 1.647093 0.055440
5.702 -0.003001 -0.017967 1.690726 0.055516
5.802 -0.002974 -0.018166 1.713415 0.055717
5.908 -0.002967 -0.018240 1.760539 0.055791
6.002 -0.003012 -0.018024 1.784974 0.056011
6.102 -0.002973 -0.018177 1.814645 0.056169
6.202 -0.002980 -0.018169 1.861768 0.056180
6.302 -0.003074 -0.017874 1.889694 0.056489
6.402 -0.002907 -0.018349 1.917619 0.056992
6.502 -0.002853 -0.018496 1.949035 0.057149
6.608 -0.002962 -0.018235 1.996159 0.057431
6.702 -0.002919 -0.018329 2.027575 0.057535
6.802 -0.003583 -0.026365 2.092689 0.065598
6.902 -0.003614 -0.026316 2.118868 0.065656
7.002 -0.003799 -0.026025 2.143303 0.066001
7.102 -0.003596 -0.026306 2.199154 0.066348
7.202 -0.003343 -0.026645 2.221843 0.066770
7.302 -0.003583 -0.026341 2.253259 0.067157
7.402 -0.003568 -0.026356 2.296892 0.067178
7.502 -0.003730 -0.026194 2.337035 0.067407
7.602 -0.003785 -0.026136 2.354488 0.067487
7.702 -0.003540 -0.026371 2.399867 0.067826
7.802 -0.003480 -0.026424 2.431282 0.067906
7.902 -0.003248 -0.026616 2.455892 0.068207
8.002 -0.003317 -0.026574 2.506506 0.068288
8.103 -0.001075 -0.023065 2.549495 0.072452
8.202 -0.000401 -0.023503 2.572185 0.073257
8.302 -0.000644 -0.023364 2.614247 0.073537
8.402 -0.000888 -0.023226 2.656309 0.073817
8.502 -0.000816 -0.023263 2.673588 0.073897
8.602 -0.000991 -0.023181 2.717221 0.074090
8.702 -0.000912 -0.023220 2.762774 0.074178
8.802 -0.001100 -0.023149 2.785464 0.074379
8.902 -0.000831 -0.023239 2.827352 0.074663
9.002 -0.001330 -0.023087 2.855451 0.075185
9.104 -0.001191 -0.023122 2.888438 0.075328
9.202 -0.000764 -0.023227 2.928755 0.075767
9.302 -0.001079 -0.023167 2.970818 0.076087
9.402 -0.001218 -0.023145 2.988097 0.076228
9.502 -0.001048 -0.023167 3.016196 0.076400
9.610 -0.029741 -0.047406 3.032780 0.113962
9.702 -0.030126 -0.047373 3.062451 0.114348
9.802 -0.030622 -0.047339 3.088631 0.114845
9.902 -0.029521 -0.047368 3.140991 0.115947
10.002 -0.029965 -0.047376 -3.117760 0.116392
10.102 -0.030503 -0.047397 -3.089835 0.116930
10.202 -0.029744 -0.047342 -3.040966 0.117692
10.303 -0.029895 -0.047359 -3.014786 0.117844
10.405 -0.029620 -0.047319 -2.979879 0.118122
10.504 -0.030127 -0.047417 -2.936246 0.118638
10.602 -0.029852 -0.047352 -2.908321 0.118921
10.702 -0.029583 -0.047287 -2.873414 0.119198
10.802 -0.030079 -0.047436 -2.836762 0.119715
10.902 -0.029622 -0.047280 -2.808837 0.120197
11.002 -0.029336 -0.047177 -2.780912 0.120501
11.102 0.000815 -0.036099 -2.713261 0.152623
11.202 0.000866 -0.036074 -2.686907 0.152679
11.302 0.001045 -0.035982 -2.648509 0.152881
11.402 0.000992 -0.036010 -2.625471 0.152941
11.504 0.001321 -0.035817 -2.602782 0.153322
11.602 0.000809 -0.036136 -2.560894 0.153926
11.704 0.001224 -0.035851 -2.532794 0.154430
11.802 0.001417 -0.035713 -2.508534 0.154666
11.902 0.001076 -0.035978 -2.468217 0.155098
12.002 0.000966 -0.036068 -2.442037 0.155240
12.102 0.001112 -0.035935 -2.403465 0.155438
12.202 0.001638 -0.035440 -2.368559 0.156161
12.311 0.001293 -0.035789 -2.349011 0.156651
12.402 0.000891 -0.036198 -2.303807 0.157225
12.502 0.001358 -0.035661 -2.277452 0.157937
12.606 0.001215 -0.035844 -2.235565 0.158169
12.702 0.021625 -0.018997 -2.186825 0.184634
12.803 0.051778 0.006166 -2.101884 0.223908
12.902 0.051796 0.006199 -2.079195 0.223944
13.002 0.052059 0.006694 -2.042543 0.224506
13.102 0.051902 0.006368 -2.009382 0.224867
