# t_sec x y yaw_rad cum_dist_m
0.102 -0.000034 -0.005836 0.010938 0.000000
0.202 0.000046 -0.005835 0.010938 0.000080
0.301 0.000027 -0.005836 0.010938 0.000100
0.407 0.000027 -0.005836 0.010938 0.000100
0.502 0.000027 -0.005836 0.010938 0.000100
0.602 0.000027 -0.005836 0.010938 0.000100
0.702 0.000027 -0.005836 0.010938 0.000100
0.802 0.000027 -0.005836 0.010938 0.000100
0.902 0.000027 -0.005836 0.010938 0.000100
1.014 0.000027 -0.005836 0.010938 0.000100
1.101 0.000027 -0.005836 0.010938 0.000100
1.208 0.000027 -0.005836 0.010938 0.000100
1.304 0.000027 -0.005836 0.010938 0.000100
1.405 0.000027 -0.005836 0.010938 0.000100
1.501 0.000027 -0.005836 0.010938 0.000100
1.601 -0.000033 -0.005836 0.012683 0.000160
1.702 0.000060 -0.005834 0.026645 0.000253
1.802 0.000234 -0.005828 0.047589 0.000428
1.902 -0.000044 -0.005846 0.084241 0.000706
2.008 0.000191 -0.005821 0.119148 0.000942
2.108 0.000231 -0.005818 0.154054 0.000982
2.202 0.000229 -0.005815 0.183725 0.000986
2.302 0.000388 -0.005787 0.222122 0.001148
2.402 -0.017422 -0.010461 0.306317 0.019561
2.502 -0.016854 -0.010266 0.348380 0.020162
2.601 -0.016834 -0.010259 0.378050 0.020183
2.702 -0.016853 -0.010267 0.407721 0.020203
2.803 -0.016834 -0.010263 0.449609 0.020222
2.902 -0.016720 -0.010202 0.481025 0.020351
3.002 -0.016513 -0.010090 0.508950 0.020587
3.102 -0.016512 -0.010090 0.540366 0.020588
3.201 -0.016516 -0.010095 0.584174 0.020595
3.302 -0.016648 -0.010186 0.613844 0.020755
3.402 -0.016618 -0.010157 0.653987 0.020797
3.502 -0.016407 -0.009993 0.687148 0.021065
3.616 -0.016362 -0.009954 0.715073 0.021124
3.702 -0.016115 -0.009727 0.751725 0.021460
3.802 -0.019969 -0.004260 0.775816 0.028149
3.902 -0.034397 0.015998 0.798698 0.053020
4.002 -0.034480 0.015905 0.832034 0.053146
4.102 -0.034493 0.015891 0.851407 0.053164
4.210 -0.034182 0.016261 0.888059 0.053647
4.302 -0.034334 0.016059 0.931692 0.053900
4.402 -0.034318 0.016086 0.961363 0.053931
4.504 -0.033994 0.016562 0.998015 0.054507
4.602 -0.034388 0.015930 1.032921 0.055252
4.702 -0.034181 0.016292 1.057356 0.055669
4.801 -0.034145 0.016342 1.099244 0.055731
4.901 -0.034128 0.016382 1.135896 0.055774
5.029 -0.034007 0.016656 1.162076 0.056073
5.102 -0.034173 0.016255 1.195237 0.056506
5.201 -0.033976 0.016787 1.238870 0.057073
5.302 -0.031410 0.011149 1.269627 0.063268
5.419 -0.022881 -0.006029 1.313626 0.082446
5.501 -0.022741 -0.005459 1.351849 0.083033
5.602 -0.022793 -0.005713 1.379948 0.083293
