# t_sec x y yaw_rad cum_dist_m
0.104 0.000003 -0.000820 0.007813 0.000000
0.204 0.000003 -0.000820 0.007813 0.000000
0.304 0.000003 -0.000820 0.007813 0.000000
0.404 0.001083 -0.000820 0.007813 0.001080
0.504 0.001589 -0.000820 0.020030 0.001585
0.604 0.001387 -0.000828 0.042719 0.001787
0.704 0.001345 -0.000824 0.079371 0.001830
0.804 0.001425 -0.000816 0.100489 0.001910
0.907 0.001031 -0.000872 0.135396 0.002308
1.004 0.000827 -0.000899 0.172048 0.002514
1.104 0.001203 -0.000830 0.196657 0.002898
1.208 0.000600 -0.000964 0.228073 0.003516
1.305 0.001117 -0.000829 0.273452 0.004050
1.404 0.000639 -0.000973 0.299632 0.004549
1.505 0.000516 -0.001012 0.325811 0.004679
1.605 0.000609 -0.000977 0.364209 0.004779
1.704 0.000540 -0.001004 0.395625 0.004853
1.805 0.000870 -0.000858 0.435767 0.005213
1.904 0.000848 -0.000869 0.453221 0.005238
2.006 0.000273 -0.001159 0.495108 0.005882
2.104 0.000483 -0.001042 0.526524 0.006123
2.204 0.000313 -0.001146 0.554450 0.006322
2.304 0.000163 -0.001246 0.596338 0.006503
2.404 0.000293 -0.001155 0.617456 0.006661
2.504 0.000112 -0.001288 0.654282 0.006886
2.604 -0.005752 0.008897 0.692384 0.018638
2.704 -0.019637 0.032322 0.724256 0.045870
2.804 -0.019625 0.032322 0.773126 0.045882
2.908 -0.019652 0.032294 0.801051 0.045921
3.004 -0.019652 0.032294 0.830722 0.045922
3.104 -0.019640 0.032310 0.872609 0.045942
3.204 -0.019866 0.032032 0.900535 0.046300
3.304 -0.019659 0.032301 0.930205 0.046639
3.414 -0.019956 0.031875 0.972093 0.047159
3.504 -0.020014 0.031793 1.007000 0.047260
3.604 -0.019993 0.031828 1.034925 0.047300
3.704 -0.019963 0.031882 1.083794 0.047362
3.804 -0.019926 0.031950 1.109974 0.047440
3.904 -0.019986 0.031824 1.137900 0.047580
4.004 -0.020012 0.031768 1.185023 0.047642
4.104 -0.027476 0.036939 1.213332 0.056722
4.204 -0.042210 0.047361 1.246878 0.074769
4.304 -0.042229 0.047304 1.288766 0.074830
4.404 -0.042158 0.047564 1.314946 0.075100
4.504 -0.042231 0.047265 1.344791 0.075407
4.604 -0.042214 0.047365 1.390170 0.075508
4.704 -0.042232 0.047245 1.421760 0.075630
4.805 -0.042229 0.047264 1.447940 0.075649
4.904 -0.042245 0.047080 1.493319 0.075833
5.004 -0.042276 0.046607 1.522989 0.076307
5.104 -0.042263 0.046988 1.545678 0.076688
5.204 -0.042259 0.046849 1.584076 0.076827
5.304 -0.042264 0.046865 1.624218 0.076843
5.404 -0.042259 0.046788 1.650398 0.076920
5.504 -0.042226 0.046451 1.681814 0.077259
5.604 -0.042230 0.046469 1.727193 0.077278
5.708 -0.042173 0.046175 1.763845 0.077578
5.805 -0.053039 0.083841 1.778767 0.116780
5.904 -0.053253 0.084632 1.822270 0.117599
6.007 -0.053111 0.084111 1.850195 0.118139
6.104 -0.053188 0.084359 1.878120 0.118399
6.204 -0.053116 0.084175 1.914772 0.118596
6.304 -0.053091 0.084094 1.953169 0.118681
6.404 -0.053258 0.084491 1.981095 0.119111
6.504 -0.052983 0.083889 2.014256 0.119773
6.605 -0.053217 0.084347 2.050908 0.120287
6.705 -0.053133 0.084201 2.080578 0.120455
6.804 -0.052946 0.083871 2.120721 0.120835
6.904 -0.053186 0.084260 2.148646 0.121292
7.004 -0.052859 0.083777 2.178317 0.121876
7.104 -0.052847 0.083759 2.220030 0.121896
7.204 -0.052804 0.083708 2.251795 0.121964
7.304 -0.052650 0.083524 2.281466 0.122204
7.404 -0.052871 0.083784 2.323354 0.122545
7.505 -0.052667 0.084637 2.344162 0.123422
7.604 -0.050907 0.123102 2.377788 0.161927
7.704 -0.050732 0.122939 2.414265 0.162166
7.808 -0.050642 0.122859 2.449172 0.162286
7.904 -0.050817 0.123003 2.475352 0.162513
8.004 -0.050423 0.122704 2.501532 0.163008
8.104 -0.050686 0.122877 2.553892 0.163323
8.204 -0.050432 0.122715 2.583737 0.163624
8.307 -0.050159 0.122547 2.606252 0.163945
8.404 -0.050247 0.122596 2.658612 0.164046
8.504 -0.050118 0.122531 2.688457 0.164190
8.604 -0.050223 0.122578 2.719873 0.164304
8.704 -0.049677 0.122356 2.759841 0.164893
8.804 -0.049824 0.122406 2.794922 0.165048
8.904 -0.050066 0.122490 2.824592 0.165304
9.004 -0.049569 0.122339 2.859499 0.165824
9.104 -0.049627 0.122353 2.901387 0.165883
9.204 -0.043834 0.152627 2.932123 0.196706
9.304 -0.043539 0.152570 2.958302 0.197007
9.404 -0.043681 0.152590 3.000190 0.197150
9.512 -0.043448 0.152559 3.031606 0.197384
9.604 -0.043585 0.152572 3.064768 0.197521
9.704 -0.043724 0.152579 3.106655 0.197661
9.805 -0.043252 0.152573 3.136326 0.198133
9.904 -0.043197 0.152573 -3.118934 0.198188
10.004 -0.042977 0.152588 -3.073555 0.198408
10.104 -0.042832 0.152598 -3.045630 0.198554
10.204 -0.042954 0.152585 -3.019450 0.198677
10.304 -0.043108 0.152563 -2.979308 0.198833
10.404 -0.043128 0.152560 -2.965345 0.198852
10.504 -0.022731 0.053936 -2.968671 0.299563
10.604 -0.022810 0.053922 -2.968671 0.299643
10.704 -0.022810 0.053922 -2.968671 0.299643
10.804 -0.022672 0.053947 -2.956453 0.299783
10.904 -0.022597 0.053962 -2.926608 0.299861
11.004 -0.022657 0.053948 -2.891353 0.299923
11.104 -0.022542 0.053980 -2.854526 0.300042
11.204 -0.022800 0.053901 -2.837073 0.300312
11.319 -0.022676 0.053951 -2.788029 0.300446
11.404 -0.022582 0.053986 -2.761849 0.300547
11.506 -0.022771 0.053908 -2.740905 0.300752
11.604 -0.023067 0.053774 -2.709315 0.301077
11.704 -0.023106 0.053760 -2.665682 0.301118
11.804 -0.023000 0.053818 -2.639153 0.301239
11.904 -0.023045 0.053787 -2.595519 0.301294
12.004 -0.022894 0.053882 -2.563754 0.301473
12.105 -0.022830 0.053924 -2.539320 0.301550
12.204 -0.023167 0.053681 -2.495687 0.301966
12.308 -0.023320 0.053563 -2.478233 0.302159
12.405 -0.023717 0.044604 -2.418892 0.311127
12.504 -0.024690 0.034886 -2.389062 0.320894
12.605 -0.024866 0.034704 -2.346999 0.321147
12.705 -0.024784 0.034792 -2.319074 0.321267
12.804 -0.024543 0.035060 -2.278932 0.321628
12.904 -0.024899 0.034633 -2.240534 0.322184
13.004 -0.024963 0.034550 -2.214354 0.322288
13.104 -0.024845 0.034714 -2.168976 0.322489
13.204 -0.024930 0.034580 -2.137560 0.322648
13.304 -0.025064 0.034357 -2.095672 0.322908
13.404 -0.025055 0.034375 -2.066001 0.322927
13.506 -0.025046 0.034392 -2.050293 0.322947
13.604 -0.025167 0.034137 -1.996188 0.323229
13.705 -0.025095 0.034304 -1.973499 0.323410
13.804 -0.025064 0.034378 -1.928120 0.323491
13.904 -0.029437 0.057114 -1.791867 0.346643
14.017 -0.029496 0.056821 -1.762197 0.346942
14.104 -0.029547 0.056547 -1.725545 0.347221
14.205 -0.029471 0.057097 -1.697619 0.347776
14.304 -0.029522 0.056559 -1.659222 0.348316
14.404 -0.029522 0.056619 -1.619080 0.348376
14.504 -0.029514 0.056840 -1.591154 0.348597
14.604 -0.029513 0.056541 -1.563229 0.348896
14.704 -0.029514 0.056421 -1.516105 0.349016
14.805 -0.029510 0.056361 -1.491671 0.349076
14.904 -0.029509 0.056348 -1.460255 0.349090
15.004 -0.029525 0.056510 -1.407895 0.349254
15.104 -0.029415 0.055894 -1.381715 0.349880
15.204 -0.029457 0.056086 -1.353615 0.350077
15.312 -0.029484 0.056247 -1.304920 0.350240
15.404 -0.029408 0.055987 -1.273504 0.350511
