# t_sec x y yaw_rad cum_dist_m
0.104 0.004691 -0.000820 0.007812 0.000000
0.204 0.004691 -0.000820 0.007812 0.000000
0.303 0.004691 -0.000820 0.007812 0.000000
0.403 0.004691 -0.000820 0.007812 0.000000
0.507 0.004691 -0.000820 0.007812 0.000000
0.605 0.004691 -0.000820 0.007812 0.000000
0.704 0.004691 -0.000820 0.007812 0.000000
0.806 0.004691 -0.000820 0.007812 0.000000
0.904 0.004691 -0.000820 0.007812 0.000000
1.004 0.004691 -0.000820 0.007812 0.000000
1.106 0.004651 -0.000821 0.009558 0.000039
1.205 0.004751 -0.000819 0.023695 0.000139
1.304 0.004711 -0.000820 0.044639 0.000179
1.404 0.004829 -0.000813 0.083036 0.000297
1.504 0.004948 -0.000802 0.114278 0.000417
1.604 0.005185 -0.000771 0.138887 0.000656
1.704 0.005005 -0.000803 0.182694 0.000839
1.804 0.005108 -0.000780 0.207129 0.000944
1.904 0.005622 -0.000664 0.233309 0.001471
2.004 0.005777 -0.000627 0.285669 0.001630
2.113 0.005579 -0.000689 0.324066 0.001838
2.217 0.006540 -0.000343 0.367699 0.002859
2.303 0.006188 -0.000483 0.385153 0.003238
2.404 0.006130 -0.000504 0.409587 0.003300
2.505 0.006435 -0.000368 0.439258 0.003634
2.604 0.006619 -0.000273 0.484636 0.003841
2.704 0.007063 -0.000032 0.510816 0.004346
2.804 0.006804 -0.000186 0.540487 0.004648
2.904 0.007004 -0.000037 0.590927 0.004898
3.004 -0.011888 0.018444 0.651661 0.031326
3.104 -0.012174 0.018223 0.655152 0.031688
3.205 -0.012268 0.018151 0.690059 0.031805
3.303 -0.012299 0.018125 0.711002 0.031846
3.404 -0.012226 0.018193 0.751145 0.031945
3.504 -0.012167 0.018250 0.784306 0.032027
3.604 -0.012223 0.018192 0.808741 0.032108
3.703 -0.012629 0.017752 0.845393 0.032706
3.804 -0.012125 0.018349 0.890771 0.033486
3.903 -0.012382 0.018025 0.913461 0.033899
4.004 -0.012334 0.018093 0.943131 0.033982
4.104 -0.012300 0.018131 0.992000 0.034033
4.204 -0.012203 0.018284 1.023416 0.034214
4.312 -0.012324 0.018057 1.072286 0.034472
4.404 -0.012382 0.017951 1.098291 0.034592
4.504 -0.012153 0.018421 1.126391 0.035116
4.605 -0.012384 0.017912 1.153037 0.035675
4.704 -0.015368 0.011572 1.212148 0.042682
4.804 -0.015410 0.011446 1.238328 0.042815
4.904 -0.015471 0.011265 1.266428 0.043006
5.003 -0.015391 0.011517 1.316868 0.043270
5.103 -0.015504 0.011050 1.346713 0.043751
5.203 -0.015421 0.011462 1.377954 0.044171
5.304 -0.015452 0.011239 1.421762 0.044396
5.404 -0.015414 0.011538 1.446196 0.044696
5.503 -0.015399 0.011579 1.491575 0.044740
5.604 -0.015419 0.011299 1.521246 0.045020
5.703 -0.015404 0.011835 1.549171 0.045556
5.804 -0.015392 0.011399 1.599785 0.045992
5.904 -0.015414 0.011788 1.627711 0.046381
6.003 -0.015414 0.011841 1.657381 0.046434
6.103 -0.031385 0.028100 1.693702 0.069225
6.204 -0.033764 0.030705 1.726043 0.072753
6.304 -0.033745 0.030587 1.750478 0.072873
6.404 -0.033774 0.030706 1.802838 0.072996
6.503 -0.033699 0.030414 1.827273 0.073298
6.604 -0.033755 0.030607 1.853452 0.073499
6.704 -0.033701 0.030454 1.898831 0.073662
6.804 -0.033715 0.030492 1.923266 0.073702
6.903 -0.033757 0.030603 1.952936 0.073821
7.004 -0.033668 0.030404 1.996569 0.074040
7.104 -0.033754 0.030586 2.026240 0.074241
7.203 -0.033909 0.030888 2.052420 0.074581
7.304 -0.033620 0.030362 2.101289 0.075181
7.404 -0.033696 0.030486 2.125724 0.075326
7.504 -0.033846 0.030717 2.164121 0.075601
7.604 -0.076846 0.056245 2.136797 0.125608
7.703 -0.081134 0.058535 2.158875 0.130469
