# t_sec x y yaw_rad cum_dist_m
0.102 0.003184 0.004687 0.000000 0.000000
0.201 0.003184 0.004687 0.000000 0.000000
0.301 0.003164 0.004687 0.000000 0.000020
0.401 0.003164 0.004687 0.000000 0.000020
0.501 0.003164 0.004687 0.000000 0.000020
0.602 0.003164 0.004687 0.000000 0.000020
0.701 0.003164 0.004687 0.000000 0.000020
0.801 0.003164 0.004687 0.000000 0.000020
0.901 0.003164 0.004687 0.000000 0.000020
1.001 0.003164 0.004687 0.000000 0.000020
1.101 0.003164 0.004687 0.000000 0.000020
1.202 0.003164 0.004687 0.000000 0.000020
1.301 0.002970 0.004495 -0.000004 0.000293
1.401 0.001598 0.003130 -0.000030 0.002228
1.502 0.001598 0.003130 -0.000030 0.002228
1.601 0.001598 0.003130 -0.000030 0.002228
1.701 0.001598 0.003130 -0.000030 0.002228
1.801 0.001598 0.003130 -0.000030 0.002228
1.904 0.001618 0.003130 -0.000030 0.002248
2.001 0.001295 0.003129 0.026150 0.002571
2.101 0.001396 0.003133 0.047094 0.002672
2.201 0.001596 0.003146 0.076764 0.002873
2.301 0.001637 0.003149 0.106435 0.002913
2.403 0.001615 0.003149 0.148323 0.002935
2.501 0.001577 0.003141 0.174503 0.002974
2.603 0.001908 0.003209 0.207664 0.003312
2.702 0.001820 0.003180 0.254788 0.003405
2.801 0.001895 0.003203 0.282713 0.003484
2.901 0.002163 0.003286 0.317620 0.003765
3.001 0.001953 0.003209 0.359508 0.003990
3.101 0.002292 0.003344 0.387433 0.004354
3.201 0.002361 0.003369 0.417104 0.004428
3.301 0.002268 0.003331 0.460737 0.004529
3.403 0.002232 0.003313 0.488662 0.004569
3.501 0.002507 0.003473 0.539277 0.004887
3.602 0.002474 0.003451 0.570693 0.004927
3.701 0.002421 0.003416 0.595127 0.004990
3.801 0.009080 0.005620 0.650315 0.012005
3.902 0.039806 0.015586 0.701422 0.044307
4.001 0.039821 0.015601 0.729348 0.044328
4.101 0.039778 0.015559 0.776472 0.044389
4.201 0.039919 0.015702 0.809633 0.044590
4.301 0.039975 0.015763 0.835813 0.044672
4.402 0.039882 0.015653 0.870719 0.044816
4.501 0.040204 0.016063 0.907371 0.045337
4.601 0.040324 0.016224 0.947514 0.045538
4.701 0.040144 0.015965 0.980675 0.045853
4.801 0.040231 0.016100 1.006855 0.046013
4.902 0.040291 0.016201 1.045078 0.046131
5.001 0.040449 0.016481 1.087140 0.046453
5.101 0.040287 0.016160 1.116811 0.046813
5.215 0.040432 0.016487 1.158699 0.047171
5.301 0.040448 0.016530 1.190115 0.047217
5.402 0.040405 0.016411 1.223276 0.047343
5.501 0.006964 0.006886 1.259301 0.082114
5.602 0.006922 0.006737 1.294208 0.082269
5.701 0.006961 0.006890 1.322133 0.082427
5.801 0.006910 0.006657 1.367512 0.082667
5.902 0.006961 0.006950 1.405909 0.082964
6.002 0.007029 0.007388 1.430344 0.083408
6.102 0.006968 0.006857 1.466996 0.083942
6.202 0.006991 0.007255 1.510629 0.084341
6.302 0.006993 0.007253 1.540299 0.084344
6.401 0.006991 0.007164 1.566479 0.084433
6.501 0.006991 0.007377 1.610113 0.084646
6.601 0.007008 0.007036 1.639783 0.084988
6.702 0.006972 0.007439 1.669454 0.085392
6.801 0.007009 0.007225 1.716578 0.085609
6.902 0.006989 0.007343 1.739267 0.085729
7.001 -0.010421 0.014741 1.772757 0.104646
7.102 -0.010400 0.014644 1.795621 0.104746
7.203 -0.010353 0.014457 1.822679 0.104939
7.325 -0.010460 0.014832 1.875906 0.105330
7.402 -0.010542 0.015077 1.905577 0.105588
7.501 -0.010461 0.014865 1.942229 0.105815
7.601 -0.010442 0.014806 1.984116 0.105876
7.702 -0.010648 0.015254 2.008551 0.106370
7.805 -0.010422 0.014805 2.048694 0.106873
7.904 -0.010565 0.015068 2.087091 0.107173
8.006 -0.010586 0.015105 2.113271 0.107215
8.101 -0.010826 0.015493 2.125488 0.107671
8.201 -0.010911 0.015630 2.139451 0.107833
8.301 -0.010845 0.015529 2.162140 0.107954
8.401 -0.010719 0.015349 2.197047 0.108174
8.505 -0.042131 0.030656 2.219712 0.143118
8.602 -0.042118 0.030640 2.251128 0.143138
8.731 -0.041816 0.030279 2.293016 0.143610
8.802 -0.041796 0.030257 2.326177 0.143639
8.901 -0.041853 0.030316 2.355848 0.143720
9.001 -0.041911 0.030373 2.382028 0.143802
9.105 -0.041714 0.030196 2.432642 0.144067
9.201 -0.041548 0.030055 2.458822 0.144284
9.301 -0.041864 0.030305 2.481512 0.144686
9.402 -0.041640 0.030141 2.530381 0.144964
9.506 -0.041923 0.030329 2.561797 0.145303
9.605 -0.041493 0.030059 2.586057 0.145811
9.714 -0.041462 0.030037 2.635101 0.145849
9.802 -0.041389 0.030001 2.666517 0.145931
9.901 -0.041463 0.030035 2.692697 0.146012
10.001 -0.035046 0.004759 2.718507 0.172091
10.101 -0.035013 0.004744 2.750098 0.172127
10.201 -0.034901 0.004700 2.776278 0.172248
10.301 -0.034688 0.004624 2.825321 0.172473
10.401 -0.034949 0.004706 2.851676 0.172746
10.501 -0.034891 0.004690 2.879426 0.172807
10.602 -0.034274 0.004531 2.928470 0.173443
10.701 -0.034647 0.004608 2.949589 0.173824
10.802 -0.034094 0.004523 2.994793 0.174383
10.904 -0.034509 0.004571 3.029699 0.174800
11.002 -0.034748 0.004596 3.055879 0.175041
11.109 -0.034187 0.004556 3.101432 0.175604
11.202 -0.034426 0.004561 3.129358 0.175843
11.301 -0.033858 0.004572 -3.111940 0.176410
11.402 0.000192 -0.000769 -3.059768 0.210877
11.510 0.071939 -0.011852 -2.997592 0.283475
11.602 0.072356 -0.011785 -2.962685 0.283897
11.702 0.072022 -0.011853 -2.920798 0.284238
11.802 0.072236 -0.011802 -2.891127 0.284458
11.902 0.072312 -0.011780 -2.861456 0.284537
12.003 0.072424 -0.011740 -2.819568 0.284656
