# t_sec x y yaw_rad cum_dist_m
0.104 0.004694 -0.002711 0.010937 0.000000
0.203 0.004694 -0.002711 0.010937 0.000000
0.302 0.004714 -0.002711 0.010937 0.000020
0.402 0.004353 -0.002717 0.028391 0.000381
0.502 0.004473 -0.002712 0.051255 0.000501
0.602 0.004234 -0.002733 0.087732 0.000741
0.702 0.003774 -0.002781 0.126129 0.001204
0.803 0.003779 -0.002780 0.157545 0.001209
0.902 0.003641 -0.002804 0.185470 0.001350
1.002 0.003523 -0.002829 0.223868 0.001470
1.102 0.003427 -0.002854 0.260520 0.001570
1.202 0.003282 -0.002895 0.281464 0.001720
1.302 0.003280 -0.002894 0.307643 0.001722
1.403 0.002944 -0.003018 0.358258 0.002081
1.502 0.002701 -0.003111 0.387754 0.002341
1.602 0.002709 -0.003110 0.410618 0.002350
1.702 0.002967 -0.002979 0.461232 0.002639
1.802 0.002876 -0.003028 0.489158 0.002742
1.902 0.002612 -0.003170 0.524064 0.003042
2.002 0.002993 -0.002939 0.562462 0.003487
2.103 0.002250 -0.003435 0.602604 0.004381
2.202 0.002128 -0.003517 0.630529 0.004528
2.303 -0.021755 0.014591 0.685354 0.034499
2.403 -0.022415 0.015096 0.711984 0.035330
2.508 -0.022370 0.015135 0.755617 0.035389
2.602 -0.022956 0.014562 0.788953 0.036208
2.702 -0.022764 0.014763 0.815133 0.036486
2.802 -0.022839 0.014672 0.853530 0.036605
2.902 -0.023210 0.014242 0.895418 0.037173
3.002 -0.022965 0.014558 0.925089 0.037574
3.102 -0.023127 0.014332 0.949523 0.037853
3.202 -0.023273 0.014138 0.998392 0.038095
3.304 -0.023260 0.014154 1.024572 0.038115
3.402 -0.023525 0.013705 1.050752 0.038637
3.502 -0.023389 0.013950 1.101367 0.038917
3.602 -0.023565 0.013589 1.131037 0.039319
3.702 -0.032684 0.024527 1.182781 0.053559
3.802 -0.032746 0.024360 1.216117 0.053737
3.902 -0.032849 0.024077 1.243867 0.054038
4.002 -0.032867 0.024000 1.287501 0.054118
4.102 -0.032940 0.023728 1.319091 0.054399
4.202 -0.032900 0.023901 1.348587 0.054577
4.302 -0.032936 0.023725 1.378432 0.054756
4.403 -0.032947 0.023667 1.427476 0.054816
