# t_sec x y yaw_rad cum_dist_m
0.102 0.003128 -0.000820 0.007812 0.000000
0.202 0.003128 -0.000820 0.007812 0.000000
0.302 0.003128 -0.000820 0.007812 0.000000
0.402 0.003128 -0.000820 0.007812 0.000000
0.502 0.003128 -0.000820 0.007812 0.000000
0.602 0.003128 -0.000820 0.007812 0.000000
0.702 0.000003 -0.000820 0.007812 0.003125
0.802 -0.000147 -0.000822 0.032422 0.003275
0.904 -0.000275 -0.000828 0.058602 0.003403
1.002 -0.000373 -0.000836 0.081291 0.003502
1.106 -0.000514 -0.000847 0.128415 0.003643
1.202 -0.000476 -0.000841 0.152849 0.003682
1.304 -0.000612 -0.000867 0.182520 0.003821
1.402 -0.000532 -0.000849 0.213761 0.003903
1.502 -0.000709 -0.000890 0.255824 0.004084
1.602 -0.000595 -0.000856 0.285494 0.004203
1.702 -0.000424 -0.000802 0.329128 0.004382
1.802 -0.000481 -0.000822 0.360544 0.004443
1.902 -0.000461 -0.000815 0.381313 0.004463
2.002 -0.000348 -0.000768 0.430357 0.004586
2.102 -0.000510 -0.000845 0.461773 0.004766
2.202 -0.000493 -0.000835 0.487953 0.004786
2.302 -0.000351 -0.000763 0.536822 0.004945
2.402 -0.000626 -0.000931 0.568238 0.005267
2.502 -0.000458 -0.000821 0.589182 0.005468
2.602 -0.000622 -0.000936 0.624088 0.005669
2.702 -0.022459 0.003521 0.699123 0.027956
2.802 -0.022264 0.003688 0.737346 0.028213
2.902 -0.022724 0.003265 0.751483 0.028837
3.002 -0.022370 0.003620 0.795117 0.029339
3.112 -0.022656 0.003299 0.840495 0.029769
3.205 -0.022632 0.003330 0.875402 0.029808
3.302 -0.022456 0.003546 0.903327 0.030086
3.402 -0.022675 0.003259 0.934743 0.030447
3.504 -0.022369 0.003705 0.978376 0.030989
3.602 -0.022432 0.003604 1.002811 0.031108
3.702 -0.022678 0.003206 1.030736 0.031576
3.802 -0.022327 0.003825 1.069133 0.032289
3.902 -0.022593 0.003305 1.107531 0.032873
4.002 -0.022500 0.003503 1.133710 0.033093
4.102 -0.022502 0.003462 1.184325 0.033133
4.202 -0.037039 0.001280 1.213475 0.047834
4.302 -0.044001 0.000621 1.245749 0.054826
4.402 -0.044212 -0.000069 1.291128 0.055548
4.502 -0.044084 0.000414 1.322544 0.056047
4.602 -0.044105 0.000319 1.355705 0.056144
4.714 -0.044120 0.000280 1.401084 0.056186
4.803 -0.044089 0.000459 1.421853 0.056368
4.902 -0.044146 0.000020 1.451698 0.056811
5.003 -0.044091 0.000623 1.504058 0.057416
5.102 -0.044110 0.000207 1.530238 0.057832
5.202 -0.044118 -0.000013 1.563399 0.058053
5.302 -0.044123 0.000448 1.591325 0.058514
5.402 -0.044101 0.000168 1.634958 0.058795
5.502 -0.044125 0.000325 1.678591 0.058953
5.602 -0.044134 0.000407 1.697790 0.059035
5.702 -0.016072 0.009265 1.742240 0.088462
5.802 -0.016047 0.009164 1.787618 0.088566
5.902 -0.016057 0.009204 1.805072 0.088608
6.002 -0.016087 0.009327 1.839978 0.088735
6.102 -0.016049 0.009213 1.883611 0.088855
